"survey","country","region","records","children","deaths","complete_case_records","complete_case_children","complete_case_deaths","baseline"
"BJ61FL","BEN","BEN:BJ61FL:littoral",5979,1792,54,5979,1792,54,"regional_baseline"
"BJ61FL","BEN","BEN:BJ61FL:mono",4927,1460,41,4927,1460,41,"regional_baseline"
"BJ61FL","BEN","BEN:BJ61FL:oueme",8708,2606,74,8708,2606,74,"regional_baseline"
"BJ61FL","BEN","BEN:BJ61FL:plateau",4818,1454,33,4818,1454,33,"regional_baseline"
"BJ61FL","BEN","BEN:BJ61FL:zou",7610,2311,104,7610,2311,104,"regional_baseline"
"BJ71FL","BEN","BEN:BJ71FL:alibori",9028,2739,123,9028,2739,123,"previous_primary"
"BJ71FL","BEN","BEN:BJ71FL:atacora",7214,2154,119,7214,2154,119,"previous_primary"
"BJ71FL","BEN","BEN:BJ71FL:atlantic",7314,2181,119,7314,2181,119,"previous_primary"
"BJ71FL","BEN","BEN:BJ71FL:borgou",9664,2895,125,9664,2895,125,"previous_primary"
"BJ71FL","BEN","BEN:BJ71FL:collines",5781,1736,79,5781,1736,79,"previous_primary"
"BJ71FL","BEN","BEN:BJ71FL:couffo",4853,1484,65,4853,1484,65,"previous_primary"
"BJ71FL","BEN","BEN:BJ71FL:donga",5206,1590,114,5206,1590,114,"previous_primary"
"BJ71FL","BEN","BEN:BJ71FL:littoral",4754,1411,36,4754,1411,36,"previous_primary"
"BJ71FL","BEN","BEN:BJ71FL:mono",3759,1109,61,3759,1109,61,"previous_primary"
"BJ71FL","BEN","BEN:BJ71FL:oueme",5764,1694,64,5764,1694,64,"previous_primary"
"BJ71FL","BEN","BEN:BJ71FL:plateau",4705,1397,90,4705,1397,90,"previous_primary"
"BJ71FL","BEN","BEN:BJ71FL:zou",6771,2010,90,6771,2010,90,"previous_primary"
"BJ71FL","BEN","BEN:BJ71FL:alibori",9028,2739,123,9028,2739,123,"eligible_MAP"
"BJ71FL","BEN","BEN:BJ71FL:atacora",7214,2154,119,7214,2154,119,"eligible_MAP"
