"label","n_hh","w_hh","matched","numeric_code","group_rule_improved","svkey","v113_class"
"protected well in dwelling",4,4.175849,TRUE,FALSE,NA,"CD51FL","character"
"protected well in yard/plot",2,1.556406,TRUE,FALSE,NA,"CD51FL","character"
"public tap/standpipe",1123,1031.76536,TRUE,FALSE,NA,"CD51FL","character"
"river/stream",817,759.794285,FALSE,FALSE,NA,"CD51FL","character"
"sea, lake",77,55.201301,FALSE,FALSE,NA,"CD51FL","character"
"tanker truck",4,4.338024,FALSE,FALSE,NA,"CD51FL","character"
"tube well",68,73.979624,TRUE,FALSE,NA,"CD51FL","character"
"unprotected spring",2049,2262.25851799999,FALSE,FALSE,NA,"CD51FL","character"
"bottled water",31,33.172704,TRUE,FALSE,NA,"CD61FL","character"
"cart with small tank",4,4.272309,FALSE,FALSE,NA,"CD61FL","character"
"not a dejure resident",89,94.864335,FALSE,FALSE,NA,"CD61FL","character"
"other",21,28.851895,FALSE,FALSE,NA,"CD61FL","character"
"piped from the neighbor",853,1162.713628,TRUE,FALSE,NA,"CD61FL","character"
"piped into dwelling",102,108.068324,TRUE,FALSE,NA,"CD61FL","character"
"piped to yard/plot",526,694.944910000003,TRUE,FALSE,NA,"CD61FL","character"
"protected spring",1981,2024.773671,TRUE,FALSE,NA,"CD61FL","character"
"protected well",495,479.824403,TRUE,FALSE,NA,"CD61FL","character"
"public tap/standpipe",873,1174.369381,TRUE,FALSE,NA,"CD61FL","character"
"rainwater",1,0.918229,TRUE,FALSE,NA,"CD61FL","character"
"river/dam/lake/ponds/stream/canal/irrigation channel",1509,1132.86979500001,FALSE,FALSE,NA,"CD61FL","character"
"tanker truck",1,0.115813,FALSE,FALSE,NA,"CD61FL","character"
"tube well or borehole",229,277.366404,TRUE,FALSE,NA,"CD61FL","character"
"unprotected spring",5076,4448.27702999999,FALSE,FALSE,NA,"CD61FL","character"
"unprotected well",797,662.810776000003,FALSE,FALSE,NA,"CD61FL","character"
"bottled water",156,307.61329,TRUE,FALSE,NA,"CD81FL","character"
"cart with small tank",34,47.416734,FALSE,FALSE,NA,"CD81FL","character"
"not a dejure resident",122,98.157619,FALSE,FALSE,NA,"CD81FL","character"
