"svkey","regkey","recomputed","corrected","share_numeric_codes"
"GH72FL","brongahafo",84.344257785381,86.5255450068695,0
"GH72FL","central",86.4266102659436,88.4947143503142,0
"GH72FL","eastern",79.9761010904817,81.0857007430479,0
"GH72FL","greateraccra",97.2040199922554,97.9300347356222,0
"GH72FL","northern",75.8407574234696,76.7515775618218,0
"GH72FL","uppereast",88.9034005898774,89.2549003317415,0
"GH72FL","upperwest",93.0362379740977,95.5859079391534,0
"GH72FL","volta",81.8178585868378,82.3100975043417,0
"GH72FL","western",82.8792210201641,85.6389459586656,0
"GH8CFL","ahafo",83.5342617067152,84.6653473110135,0
"GH8CFL","ashanti",95.3577438409714,96.7835618894762,0
"GH8CFL","bono",91.2819238739101,92.2075586730451,0
"GH8CFL","bonoeast",82.2819301497931,83.3230366989981,0
"GH8CFL","central",89.9017005887419,91.6488620046135,0
"GH8CFL","eastern",87.9755728099713,89.2676976681015,0
"GH8CFL","greateraccra",98.2289869527732,98.6374477297169,0
"GH8CFL","northeast",57.9847836533786,58.5889239788163,0
"GH8CFL","northern",70.2836064555394,70.4856056862082,0
"GH8CFL","oti",63.3283190882931,63.9230625635244,0
"GH8CFL","savannah",58.3747241271221,58.9158352754059,0
"GH8CFL","uppereast",95.5973121738071,96.1666879223122,0
"GH8CFL","upperwest",96.7603311687715,97.2974718932167,0
"GH8CFL","volta",86.2374463037925,87.5941395835942,0
"GH8CFL","western",90.553199023341,92.3807216739167,0
"GH8CFL","westernnorth",82.778951580042,83.7339002897848,0
"GN52FL","boke",20.9682148820793,21.125870255798,0
"GN52FL","conakry",93.4377340317592,95.0559019279219,0
"GN52FL","faranah",21.4605918441013,21.8346394207435,0
"GN52FL","kankan",17.7904277521591,17.9790019374852,0
"GN52FL","kindia",20.9890116843832,21.2110898701855,0
"GN52FL","labe",9.25018604137643,9.26434943913366,0
"GN52FL","mamou",18.4481039427836,19.4370187044126,0
"GN52FL","nzerekore",17.1398498232718,17.5280605096468,0
"GN62FL","boke",71.1244205218044,71.430683120145,0
"GN62FL","conakry",97.7687420948941,98.8645668404792,0
"GN62FL","faranah",78.0184399378816,78.5369603815502,0
"GN62FL","kankan",79.7220026245078,80.3725419211184,0
"GN62FL","kindia",53.9156911114426,54.2419094411255,0
"GN62FL","labe",61.2547305179463,61.7368446475679,0
"GN62FL","mamou",53.3785530194136,55.0957044551334,0
"GN62FL","nzerekore",80.4913421130337,81.2711304617847,0
"GN71FL","boke",66.7869947049907,66.9541367557946,0
"GN71FL","conakry",95.8202735863701,96.8306680274753,0
"GN71FL","faranah",85.6576584957458,86.3134346213198,0
"GN71FL","kankan",90.4848063733017,90.4848063733017,0
"GN71FL","kindia",61.3603098845316,61.6274846262869,0
"GN71FL","labe",61.5787833310899,62.612634366137,0
"GN71FL","mamou",63.1355223602802,64.1060593548706,0
"GN71FL","nzerekore",88.7788658538651,90.0238872568844,0
"GM61FL","banjul",99.0093579952233,99.0093579952233,0
"GM61FL","basse",92.2362797705601,92.2362797705601,0
"GM61FL","brikama",86.8765705842337,87.2658144343333,0
"GM61FL","janjanbureh",77.5572237160436,79.2789566504488,0
"GM61FL","kanifing",98.4240650501959,98.7906001773419,0
"GM61FL","kerewan",88.5002786727136,88.7816836587595,0
"GM61FL","kuntaur",82.6733815945652,83.1933822189544,0
"GM61FL","mansakonko",95.8291154711726,96.4601934415739,0
"GM81FL","banjul",99.0819543613957,100,0
"GM81FL","basse",95.956056243635,97.4103047090871,0
"GM81FL","brikama",90.1249629691428,91.4590207311252,0
"GM81FL","janjanbureh",86.3160117991471,86.6978281178673,0
"GM81FL","kanifing",99.516910674702,100,0
"GM81FL","kerewan",94.960810107654,96.5359602899275,0
"GM81FL","kuntaur",87.3300599546912,90.0532516913374,0
"GM81FL","mansakonko",89.64774351955,91.3294759160089,0
"KE42FL","central",41.1813185374117,42.1334983890122,0
"KE42FL","coast",55.5833067866784,56.3286570502367,0
"KE42FL","eastern",29.1041450895423,29.4825570044107,0
"KE42FL","nairobiarea",92.0973481461202,94.5623536735167,0
"KE42FL","northeastern",3.56746816582802,3.59857235522079,0
"KE42FL","nyanza",16.131771496096,16.5078609960434,0
"KE42FL","riftvalley",18.8973460685895,19.5048324723985,0
"KE42FL","western",8.40809879705485,8.47990469962183,0
"KE52FL","central",66.7542374049009,68.032821046126,0
"KE52FL","coast",63.205550532884,65.1456461952881,0
"KE52FL","eastern",50.2681136363536,50.6760466294945,0
"KE52FL","nairobiarea",96.9401835125908,98.3310108675843,0
