"svkey","regkey","imp_water","imp_sanit","imp_water_api","imp_water_api_source","imp_sanit_api","imp_sanit_api_source"
"MD51FL","analanjirofo",19.8073823785692,2.22636447117585,18,"regional",1.1,"regional"
"MD51FL","androy",19.3244131274221,0.232238898576962,19.8,"regional",0,"regional"
"MD51FL","anosy",26.3401514697271,1.22287349413197,25.6,"regional",0.6,"regional"
"MD51FL","atsimoandrefana",29.1519304960507,2.15528487436992,31,"regional",2.7,"regional"
"MD51FL","atsimoatsinanana",10.1670878214578,0.81977974060171,9.8,"regional",0.3,"regional"
"MD51FL","atsinanana",36.7469497033292,7.99884717049597,36.1,"regional",7,"regional"
"MD51FL","betsiboka",28.0729198795315,0.0996138796623336,28.6,"regional",0.3,"regional"
"MD51FL","boeny",40.4331779227306,7.41612416305197,41.6,"regional",6.1,"regional"
"MD51FL","bongolava",69.6546139416704,0,69.5,"regional",0,"regional"
"MD51FL","diana",36.8932074348213,7.43148745382744,39.4,"regional",5.8,"regional"
"MD51FL","hautematsiatra",37.1701385480817,8.08308069508448,38.7,"regional",9.8,"regional"
"MD51FL","ihorombe",45.9246356848854,0.408337681119996,43.9,"regional",0.3,"regional"
"MD51FL","itasy",55.046720367954,4.59922689240201,55.8,"regional",1.2,"regional"
"MD51FL","melaky",7.74751938617765,0.442815021459485,8,"regional",0.8,"regional"
"MD51FL","menabe",41.5638185564602,1.87296375822453,40.9,"regional",1.8,"regional"
"MD51FL","sava",35.7151427088843,5.56258800447862,33.6,"regional",0.3,"regional"
"MD51FL","sofia",25.7419380304469,1.91910505996313,28.4,"regional",0.7,"regional"
"MD51FL","vakinankaratra",36.0437913183728,1.66862294016712,41.5,"national",4.4,"national"
"MD51FL","vatovavyfitovinany",18.5126794049737,0.402757232387333,20.4,"regional",0.5,"regional"
"MD81FL","alaotramangoro",44.6433462209045,33.5263197508701,46,"regional",33.7,"regional"
"MD81FL","amoronimania",30.8904834411376,22.6907483075649,48,"national",33.8,"national"
"MD81FL","analamangaexcludingcapital",73.900079336543,59.85036489538,76.4,"regional",61.6,"regional"
"MD81FL","analanjirofo",44.0248496776516,41.046974099674,44.2,"regional",39.3,"regional"
"MD81FL","androy",26.0666118093832,10.9686981138477,33.9,"regional",10.6,"regional"
"MD81FL","anosy",25.0051783923898,10.8069802680935,26.4,"regional",13,"regional"
"MD81FL","antananarivocapital",99.0894384688597,69.3484440769716,99.5,"regional",73.8,"regional"
"MD81FL","atsimoandrefana",51.3798148918447,20.2412880045885,53.6,"regional",19.8,"regional"
"MD81FL","atsimoatsinanana",14.908374441226,3.1894581730793,17.5,"regional",3.8,"regional"
"MD81FL","atsinanana",27.8539526791758,33.457249448084,32.6,"regional",38.8,"regional"
"MD81FL","betsiboka",27.3320350462197,16.9160705709085,29.6,"regional",17.8,"regional"
"MD81FL","boeny",46.3006167455869,29.7322091601544,48.1,"regional",31.4,"regional"
"MD81FL","bongolava",66.3709819899422,32.764908169275,65.9,"regional",34.3,"regional"
"MD81FL","diana",63.512778183152,35.4821344695438,65,"regional",34.1,"regional"
