"survey","country","region","records","children","deaths","complete_case_records","complete_case_children","complete_case_deaths","baseline"
"BJ61FL","BEN","BEN:BJ61FL:collines",5514,1686,68,0,0,0,"eligible_MAP"
"BJ61FL","BEN","BEN:BJ61FL:couffo",6167,1852,86,0,0,0,"eligible_MAP"
"BJ61FL","BEN","BEN:BJ61FL:donga",4469,1371,47,0,0,0,"eligible_MAP"
"BJ61FL","BEN","BEN:BJ61FL:littoral",5979,1792,54,0,0,0,"eligible_MAP"
"BJ61FL","BEN","BEN:BJ61FL:mono",4927,1460,41,0,0,0,"eligible_MAP"
"BJ61FL","BEN","BEN:BJ61FL:oueme",8708,2606,74,0,0,0,"eligible_MAP"
"BJ61FL","BEN","BEN:BJ61FL:plateau",4818,1454,33,0,0,0,"eligible_MAP"
"BJ61FL","BEN","BEN:BJ61FL:zou",7610,2311,104,0,0,0,"eligible_MAP"
"BJ61FL","BEN","BEN:BJ61FL:alibori",6249,1871,97,0,0,0,"regional_baseline"
"BJ61FL","BEN","BEN:BJ61FL:atacora",8173,2490,86,0,0,0,"regional_baseline"
"BJ61FL","BEN","BEN:BJ61FL:atlantique",8750,2630,107,0,0,0,"regional_baseline"
"BJ61FL","BEN","BEN:BJ61FL:borgou",6807,2088,57,0,0,0,"regional_baseline"
"BJ61FL","BEN","BEN:BJ61FL:collines",5514,1686,68,0,0,0,"regional_baseline"
"BJ61FL","BEN","BEN:BJ61FL:couffo",6167,1852,86,0,0,0,"regional_baseline"
"BJ61FL","BEN","BEN:BJ61FL:donga",4469,1371,47,0,0,0,"regional_baseline"
"BJ61FL","BEN","BEN:BJ61FL:littoral",5979,1792,54,0,0,0,"regional_baseline"
"BJ61FL","BEN","BEN:BJ61FL:mono",4927,1460,41,0,0,0,"regional_baseline"
"BJ61FL","BEN","BEN:BJ61FL:oueme",8708,2606,74,0,0,0,"regional_baseline"
"BJ61FL","BEN","BEN:BJ61FL:plateau",4818,1454,33,0,0,0,"regional_baseline"
"BJ61FL","BEN","BEN:BJ61FL:zou",7610,2311,104,0,0,0,"regional_baseline"
"BJ71FL","BEN","BEN:BJ71FL:alibori",9028,2739,123,0,0,0,"previous_primary"
