"iso3","year","political_stability","gdp_pc","health_expenditure_pc","log_gdp_pc","log_health_expenditure_pc","political_stability_source","log_health_expenditure_pc_source"
"MDG",2005,-0.0435418,305.812074924388,15.9498682,5.72297077906068,2.76945056587383,"wgi_observed","ghed_observed"
"MLI",2005,0.177881,548.730382848879,23.97353554,6.30760721495562,3.17695053610929,"wgi_observed","ghed_observed"
"MOZ",2005,-0.0829699,436.773856167384,18.40718079,6.07941556954278,2.91274084880927,"wgi_observed","ghed_observed"
"MRT",2005,-0.430211099999999,998.96583416747,34.00539017,6.90672057803116,3.52651904646267,"wgi_observed","ghed_observed"
"MWI",2005,-0.0355158,414.361121984475,17.24028015,6.0267378689391,2.84724851510352,"wgi_observed","ghed_observed"
"NAM",2005,0.5812349,3685.77299991587,402.20068359,8.21223555193724,5.99695117696416,"wgi_observed","ghed_observed"
"NER",2005,-0.4096853,318.643121918273,18.67140198,5.76407173645994,2.92699304739634,"wgi_observed","ghed_observed"
"NGA",2005,-1.7338852,1211.37703504386,52.24337006,7.0995130369987,3.95591299399003,"wgi_observed","ghed_observed"
"RWA",2005,-1.1195935,324.016863847189,25.02086639,5.78079556334891,3.21971013233692,"wgi_observed","ghed_observed"
"SEN",2005,-0.2606176,979.846101520171,36.00606155,6.88739552006753,3.58368730067129,"wgi_observed","ghed_observed"
"SLE",2005,-0.432268999999999,462.633324427945,26.04933357,6.13693478444434,3.2599921851466,"wgi_observed","ghed_observed"
"STP",2005,0.4933406,844.169181884274,80.13071442,6.73835292697756,4.38365923151212,"wgi_observed","ghed_observed"
"SWZ",2005,-0.479008599999999,2871.06877437449,217.26066589,7.9624396346842,5.38109785794614,"wgi_observed","ghed_observed"
"TCD",2005,-1.4912872,838.092107712557,31.27608871,6.73112800818015,3.44285386661839,"wgi_observed","ghed_observed"
"TGO",2005,-1.8551464,595.200212014134,20.9699707,6.38889783972536,3.04309144767871,"wgi_observed","ghed_observed"
"TZA",2005,-0.575043299999999,483.334869384766,27.71374512,6.18070972477891,3.32192850383839,"wgi_observed","ghed_observed"
"UGA",2005,-1.306617,330.405402707025,25.86819267,5.80032039353197,3.25301413175516,"wgi_observed","ghed_observed"
"ZAF",2005,-0.0157871999999999,5836.87663325127,400.5355835,8.67195110967999,5.99280261025208,"wgi_observed","ghed_observed"
"ZMB",2005,-0.0427972,710.982068171696,44.99598694,6.56664720891093,3.80657330668252,"wgi_observed","ghed_observed"
"ZWE",2005,-1.551972,461.271387547912,28.4979511926056,6.1339865629473,3.34983219671179,"wgi_observed","gam_within_series_model"
"AGO",2006,-0.6714135,2930.44428606516,70.28185272,7.98290932398526,4.25251362495207,"wgi_observed","ghed_observed"
"BDI",2006,-1.2706416,161.892755640319,14.10514736,5.08693411379191,2.64653979175848,"wgi_observed","ghed_observed"
"BEN",2006,0.6060891,809.147072506221,26.60264206,6.69598069596985,3.28101053641911,"wgi_observed","ghed_observed"
"BFA",2006,0.1098282,455.513655620024,23.55202866,6.12142569565794,3.15921195942752,"wgi_observed","ghed_observed"
"CIV",2006,-1.90764699999999,1230.43056838584,47.08904266,7.11511944270954,3.85204033404244,"wgi_observed","ghed_observed"
"CMR",2006,-0.2662983,1191.45458990968,44.52022934,7.08293018411272,3.79594367778671,"wgi_observed","ghed_observed"
"COD",2006,-2.05310459999999,255.445229568751,10.37645721,5.54300802098412,2.33953951022993,"wgi_observed","ghed_observed"
"COG",2006,-0.8804342,2103.5821381211,35.94208145,7.65139695057869,3.58190879425828,"wgi_observed","ghed_observed"
"COM",2006,-0.392569699999999,1138.47908404345,65.72916412,7.0374485138317,4.18554272532257,"wgi_observed","ghed_observed"
"ETH",2006,-1.68960159999999,189.345737521418,8.42413712,5.24357464298493,2.13110105200214,"wgi_observed","ghed_observed"
"GAB",2006,0.0509,6847.00985685394,211.9914093,8.83156731870728,5.35654575168116,"wgi_observed","ghed_observed"
"GHA",2006,-0.0780160999999999,906.441027564887,49.34616852,6.80952597299311,3.89886012395966,"wgi_observed","ghed_observed"
"GIN",2006,-1.83787,446.980554135013,16.15967941,6.10251509061362,2.78251921440606,"wgi_observed","ghed_observed"
"GMB",2006,-0.1468782,614.544307904464,33.41355896,6.42088103040097,3.50896177449068,"wgi_observed","ghed_observed"
"KEN",2006,-1.03691319999999,699.80237063381,40.3040123,6.55079796751546,3.69645102479083,"wgi_observed","ghed_observed"
"LBR",2006,-1.2364099,320.55808618515,18.34446335,5.77006349608655,2.90932780417685,"wgi_observed","ghed_observed"
"MDG",2006,0.1406385,324.146874882604,16.44085503,5.78119673061388,2.79976939739969,"wgi_observed","ghed_observed"
"MLI",2006,0.4847829,586.985415512593,26.93190002,6.37499997371465,3.29331145836365,"wgi_observed","ghed_observed"
"MOZ",2006,0.2636579,457.487647833183,18.05057144,6.12574988507936,2.89317734300352,"wgi_observed","ghed_observed"
"MRT",2006,0.1309329,1300.60367988659,35.14922333,7.17058380480718,3.55960252213773,"wgi_observed","ghed_observed"
"MWI",2006,-0.0703742,440.822149023873,20.95070648,6.08864150390819,3.04217236799527,"wgi_observed","ghed_observed"
"NAM",2006,0.703831,4017.1834716928,437.56240845,8.29833630712577,6.08121934351014,"wgi_observed","ghed_observed"
"NER",2006,-0.1317713,333.345078419447,19.9213028,5.80917822495162,2.99178965162429,"wgi_observed","ghed_observed"
"NGA",2006,-1.8286711,1599.53891556365,63.63072205,7.37747068892396,4.15309640481508,"wgi_observed","ghed_observed"
"RWA",2006,-0.625557799999999,352.093916578347,27.1564312,5.86389794847226,3.30161389494053,"wgi_observed","ghed_observed"
"SEN",2006,-0.2918745,1017.20196747987,38.28113556,6.92481096775753,3.64495723072157,"wgi_observed","ghed_observed"
"SLE",2006,-0.2419056,580.26796974773,29.63347244,6.36349001364999,3.38890454810395,"wgi_observed","ghed_observed"
"STP",2006,0.4054543,861.970707697664,57.2040329,6.75922128829705,4.04662440114513,"wgi_observed","ghed_observed"
"SWZ",2006,-0.2415542,2964.95865200682,237.50752258,7.99461836597433,5.47019929699414,"wgi_observed","ghed_observed"
"TCD",2006,-1.7693476,906.897260572747,33.8651123,6.81002916979922,3.52238534876944,"wgi_observed","ghed_observed"
"TGO",2006,-0.935167699999999,596.249203137762,22.74487495,6.39065870574507,3.12433984309522,"wgi_observed","ghed_observed"
"TZA",2006,-0.383899,475.746734619141,35.59762955,6.16488564250403,3.5722790499669,"wgi_observed","ghed_observed"
"UGA",2006,-0.991477699999999,346.518255310647,31.60310555,5.84793550212137,3.45325539266274,"wgi_observed","ghed_observed"
"ZAF",2006,-0.0093215,6077.38293388876,417.91174316,8.71232944378983,6.03527026946586,"wgi_observed","ghed_observed"
"ZMB",2006,0.2636446,1051.71714895686,58.68175507,6.95817948733282,4.07212886199588,"wgi_observed","ghed_observed"
"ZWE",2006,-1.3010141,431.034994414964,28.2825689070754,6.06618928034593,3.3422456752011,"wgi_observed","gam_within_series_model"
"AGO",2007,-0.7470711,3515.05678985496,93.42698669,8.16481096054525,4.53718024022439,"wgi_observed","ghed_observed"
"BDI",2007,-1.1429842,166.162744906755,15.26294613,5.11296769909171,2.72542806947645,"wgi_observed","ghed_observed"
"BEN",2007,0.4554713,912.338247188342,26.79680061,6.8160108063884,3.28828250016654,"wgi_observed","ghed_observed"
"BFA",2007,0.3576735,514.684451177238,29.72483063,6.24355399671578,3.39198274466322,"wgi_observed","ghed_observed"
"CIV",2007,-1.9248477,1367.53817722326,56.15083694,7.22076745143717,4.02804158650525,"wgi_observed","ghed_observed"
"CMR",2007,-0.3436526,1325.67248215933,50.30911255,7.18967514337381,3.91818622471338,"wgi_observed","ghed_observed"
"COD",2007,-2.0273686,294.101615124419,11.5629034,5.6839253372974,2.4478019908786,"wgi_observed","ghed_observed"
"COG",2007,-0.8429129,2206.47101863414,41.96711731,7.69914969408183,3.73688639045004,"wgi_observed","ghed_observed"
"COM",2007,-0.996511599999999,1289.73631056361,69.87202454,7.16219306604525,4.24666534795679,"wgi_observed","ghed_observed"
"ETH",2007,-1.6868659,237.146255996319,11.63210678,5.46867706470716,2.45376910059772,"wgi_observed","ghed_observed"
"GAB",2007,0.1412457,8003.54289696049,246.78276062,8.98763958474755,5.50850843797075,"wgi_observed","ghed_observed"
"GHA",2007,-0.116125499999999,1050.12461524926,57.34096527,6.95666411729928,4.04901529446072,"wgi_observed","ghed_observed"
"GIN",2007,-2.2418868,650.148575304743,22.64143372,6.47720091416176,3.11978157818505,"wgi_observed","ghed_observed"
"GMB",2007,-0.0203999999999999,724.726407242432,35.91078568,6.58579421431217,3.58103768714095,"wgi_observed","ghed_observed"
"KEN",2007,-1.43977089999999,840.201439476765,49.44605255,6.73364167198871,3.90088222778429,"wgi_observed","ghed_observed"
"LBR",2007,-1.16121229999999,374.211308104278,15.8568964,5.92482063279621,2.7636045097939,"wgi_observed","ghed_observed"
"MDG",2007,0.1026496,419.548001431865,19.33553123,6.03917794470532,2.96194439972708,"wgi_observed","ghed_observed"
"MLI",2007,0.3542953,670.853394978069,29.63545799,6.50855062573482,3.38897154948178,"wgi_observed","ghed_observed"
"MOZ",2007,0.1182921,507.874923914304,19.29700851,6.23023520449602,2.95995008441531,"wgi_observed","ghed_observed"
"MRT",2007,-0.158789899999999,1405.15016203368,40.41820145,7.24789945294922,3.69928021444911,"wgi_observed","ghed_observed"
"MWI",2007,-0.0623315,475.180261659331,25.0216465,6.16369423027357,3.21974131022767,"wgi_observed","ghed_observed"
"NAM",2007,0.9275704,4379.04313682732,493.60388184,8.38458551759264,6.20173333690385,"wgi_observed","ghed_observed"
"NER",2007,-0.3573665,387.168065883301,20.96952438,5.95885887752627,3.04307016368379,"wgi_observed","ghed_observed"
