"iso3","age_band","draw","log_hr_zero_vs_current","variance"
"SEN","12-23",10,-0.187837631465225,0.000754988411258391
"SEN","24-35",10,-0.296475296936674,0.000998627498881895
"SEN","36-47",10,-0.212157380859504,0.0013029351228139
"SEN","48-59",10,-0.24964635629797,0.00200259024231623
"SLE","<1",10,0.0554531282230339,0.000500789033355301
"SLE","1-5",10,-0.0367986748929145,0.000812022148090266
"SLE","6-11",10,-0.312656731359272,0.00315674966373983
"SLE","12-23",10,-0.596018611672358,0.00419640920472325
"SLE","24-35",10,-0.868106266147571,0.005274928143284
"SLE","36-47",10,-0.687260311670941,0.00711157531153833
"SLE","48-59",10,-0.575991508302423,0.010251308515245
"SOM","<1",10,0.00541400588519419,4.90340383758514e-06
"SOM","1-5",10,-0.00358979375252638,7.75762097129372e-06
"SOM","6-11",10,-0.0386525411645581,9.24661342456635e-05
"SOM","12-23",10,-0.0845320212054784,0.000156585359926187
"SOM","24-35",10,-0.133765842302088,0.000207342130169438
"SOM","36-47",10,-0.0953846660358529,0.000270378688427501
"SOM","48-59",10,-0.113378465855099,0.00041647595617253
"SSD","<1",10,0.0416203044341314,0.000284495778275622
"SSD","1-5",10,-0.0276112507850225,0.000457687705896535
"SSD","6-11",10,-0.259116449230333,0.00275805263782761
"SSD","12-23",10,-0.526270708840138,0.0040989366393277
"SSD","24-35",10,-0.795954080122565,0.00529212803684567
"SSD","36-47",10,-0.603462438123188,0.00700525046555503
"SSD","48-59",10,-0.595528280773448,0.010359087338894
"SWZ","<1",10,0.00376209796333832,2.36813303614327e-06
"SWZ","1-5",10,-0.00249447305106694,3.74593473731692e-06
"SWZ","6-11",10,-0.0268895324593475,4.48975323412104e-05
"SWZ","12-23",10,-0.0588391504764575,7.60900379311163e-05
"SWZ","24-35",10,-0.0931385192123994,0.000100767805076987
"SWZ","36-47",10,-0.0663852538197122,0.000131394910598849
"SWZ","48-59",10,-0.079007243374773,0.000202447700262798
"TCD","<1",10,0.027103312253585,0.000121835619097308
"TCD","1-5",10,-0.0179750303473834,0.000194252300954405
"TCD","6-11",10,-0.183175704834162,0.00176444525291197
"TCD","12-23",10,-0.389619751720932,0.0028619138768372
"TCD","24-35",10,-0.606477864174535,0.00376057773960789
"TCD","36-47",10,-0.442331178818127,0.00492378752014289
"TCD","48-59",10,-0.492402535365275,0.00747534220523661
"TGO","<1",10,0.0377459818699382,0.000234623571238622
"TGO","1-5",10,-0.0250387311615165,0.000376522619756693
"TGO","6-11",10,-0.241022024701847,0.00257003568144719
"TGO","12-23",10,-0.496843779658289,0.00393341787511597
"TGO","24-35",10,-0.758493172884881,0.00511009058057516
"TGO","36-47",10,-0.568018319020915,0.00673688334813589
"TGO","48-59",10,-0.583294241168446,0.0100457940581122
"TZA","<1",10,0.0158880940309368,4.21080372505605e-05
"TZA","1-5",10,-0.0105354487826427,6.67894610045984e-05
"TZA","6-11",10,-0.111520069152573,0.000732440912140829
"TZA","12-23",10,-0.241859132610001,0.00122538913124089
"TZA","24-35",10,-0.380861522039763,0.0016191928435079
"TZA","36-47",10,-0.273408072910352,0.0021136831007639
"TZA","48-59",10,-0.318808899521708,0.00324226145890245
"UGA","<1",10,0.039416497027004,0.000255552161639854
"UGA","1-5",10,-0.0261478807429004,0.000410549309714561
"UGA","6-11",10,-0.24901057017209,0.00265735630709386
"UGA","12-23",10,-0.510133935817108,0.00401742638846347
"UGA","24-35",10,-0.775742410636172,0.00520589033101591
"UGA","36-47",10,-0.58397439794785,0.00687453579668026
"UGA","48-59",10,-0.589800133635605,0.0102146685143611
"ZMB","<1",10,0.0257027816398825,0.000109661714624204
"ZMB","1-5",10,-0.0170457947403962,0.000174709347705346
"ZMB","6-11",10,-0.174738940663969,0.00163460248836547
"ZMB","12-23",10,-0.372830130236998,0.00266518181051597
"ZMB","24-35",10,-0.581432702044415,0.00350544813655599
"ZMB","36-47",10,-0.422979007290928,0.00458727527559101
"ZMB","48-59",10,-0.474448914519239,0.00697631536476047
"ZWE","<1",10,0.00609638258223191,6.21670495877139e-06
"ZWE","1-5",10,-0.00404225824776184,9.83628116176365e-06
"ZWE","6-11",10,-0.0434985640677599,0.000116904963348291
"ZWE","12-23",10,-0.0951027936363589,0.000197890792627047
"ZWE","24-35",10,-0.150468259320795,0.000262018462903856
"ZWE","36-47",10,-0.107319266144271,0.000341689426447238
"ZWE","48-59",10,-0.127481360061681,0.000526245139607789
"AGO","<1",45,0.0303182637405394,0.000222142174519046
"AGO","1-5",45,-0.0221218496780597,0.000358055789207088
"AGO","6-11",45,-0.239553284245109,0.00250533462371328
"AGO","12-23",45,-0.499471799564511,0.00385216040836337
"AGO","24-35",45,-0.75778937749303,0.0050105092190784
"AGO","36-47",45,-0.562174080322974,0.00660241469217149
"AGO","48-59",45,-0.583496572190305,0.00987933559579326
"BDI","<1",45,0.0349030811379965,0.000293397481299411
"BDI","1-5",45,-0.0254748116197622,0.000474576760962062
"BDI","6-11",45,-0.264698065578739,0.00278242403379965
"BDI","12-23",45,-0.540697904889758,0.00410409995894745
"BDI","24-35",45,-0.811111899169084,0.00529112432492709
"BDI","36-47",45,-0.612978501873044,0.00701366315725866
"BDI","48-59",45,-0.602571195087852,0.0103722338911485
"BEN","<1",45,0.0541746380709216,0.00069856907308287
"BEN","1-5",45,-0.0395780400207703,0.00114381738024836
"BEN","6-11",45,-0.339755521578794,0.00335823230183179
"BEN","12-23",45,-0.619547869707591,0.00419542261124849
"BEN","24-35",45,-0.879715324776352,0.00518052457401051
