"survey","IndicatorId","CharacteristicLabel","value"
"LB7AFL","CN_NUTS_C_HA2","..Grand Kru",32.6
"LB7AFL","CN_NUTS_C_HA2","..Maryland",36.3
"LB7AFL","CN_NUTS_C_HA2","..Lofa",35
"LB7AFL","CN_NUTS_C_HA2","..Bong",37.4
"LB7AFL","CN_NUTS_C_HA2","..Nimba",30.7
"LB7AFL","CN_NUTS_C_WH2","..Bomi",5.7
"LB7AFL","CN_NUTS_C_WH2","..Grand Cape Mount",4.6
"LB7AFL","CN_NUTS_C_WH2","..Gbarpolu",4.6
"LB7AFL","CN_NUTS_C_WH2","Sinoe",2.2
"LB7AFL","CN_NUTS_C_WH2","Montserrado incl. Monrovia",3.7
"LB7AFL","CN_NUTS_C_WH2","Grand Gedeh",4.8
"LB7AFL","CN_NUTS_C_WH2","Monrovia",4.2
"LB7AFL","CN_NUTS_C_WH2","..Margibi",5
"LB7AFL","CN_NUTS_C_WH2","..Grand Bassa",3.4
"LB7AFL","CN_NUTS_C_WH2","..River Cess",4.9
"LB7AFL","CN_NUTS_C_WH2","..River Gee",3.3
"LB7AFL","CN_NUTS_C_WH2","..Grand Kru",1.2
"LB7AFL","CN_NUTS_C_WH2","..Maryland",8
"LB7AFL","CN_NUTS_C_WH2","..Lofa",1.2
"LB7AFL","CN_NUTS_C_WH2","..Bong",2.8
"LB7AFL","CN_NUTS_C_WH2","..Nimba",2.3
"LS61FL","CN_NUTS_C_HA2","Butha-Buthe",32.5
"LS61FL","CN_NUTS_C_HA2","Leribe",39.6
"LS61FL","CN_NUTS_C_HA2","Berea",35.3
"LS61FL","CN_NUTS_C_HA2","Maseru",31.7
"LS61FL","CN_NUTS_C_HA2","Mafeteng",37.6
"LS61FL","CN_NUTS_C_HA2","Mohale's Hoek",44.8
"LS61FL","CN_NUTS_C_HA2","Quthing",37.6
"LS61FL","CN_NUTS_C_HA2","Qasha's Nek",47
"LS61FL","CN_NUTS_C_HA2","Mokhotlong",48.2
"LS61FL","CN_NUTS_C_HA2","Thaba-Tseka",51.8
"LS61FL","CN_NUTS_C_WH2","Butha-Buthe",3.8
"LS61FL","CN_NUTS_C_WH2","Leribe",1.4
"LS61FL","CN_NUTS_C_WH2","Berea",2.8
"LS61FL","CN_NUTS_C_WH2","Maseru",3.8
"LS61FL","CN_NUTS_C_WH2","Mafeteng",5.2
"LS61FL","CN_NUTS_C_WH2","Mohale's Hoek",4.9
"LS61FL","CN_NUTS_C_WH2","Quthing",4.2
"LS61FL","CN_NUTS_C_WH2","Qasha's Nek",3.9
"LS61FL","CN_NUTS_C_WH2","Mokhotlong",4
"LS61FL","CN_NUTS_C_WH2","Thaba-Tseka",5.9
"LS71FL","CN_NUTS_C_HA2","Butha-Buthe",40.3
"LS71FL","CN_NUTS_C_HA2","Leribe",31.3
"LS71FL","CN_NUTS_C_HA2","Berea",27.4
"LS71FL","CN_NUTS_C_HA2","Maseru",29.9
"LS71FL","CN_NUTS_C_HA2","Mafeteng",25.9
"LS71FL","CN_NUTS_C_HA2","Mohale's Hoek",38.1
"LS71FL","CN_NUTS_C_HA2","Quthing",34.1
"LS71FL","CN_NUTS_C_HA2","Qasha's Nek",32.5
