"iso3","regkey","year","coverage","coverage_confirmed"
"NGA","lagos",2006,0,0
"NGA","lagos",2007,0,0
"NGA","lagos",2008,0,0
"NGA","lagos",2009,0,0
"NGA","lagos",2010,0,0
"NGA","lagos",2011,0,0
"NGA","lagos",2012,0,0
"NGA","lagos",2013,0,0
"NGA","lagos",2014,0,0
"NGA","lagos",2015,0,0
"NGA","lagos",2016,0,0
"NGA","lagos",2017,0,0
"NGA","lagos",2018,0,0
"NGA","lagos",2019,0,0
"NGA","lagos",2020,0,0
"NGA","lagos",2021,0,0
"NGA","lagos",2022,0,0
"NGA","lagos",2023,0,0
"NGA","lagos",2024,0,0
"NGA","lagos",2025,0,0
"NGA","ogun",2000,0,0
"NGA","ogun",2001,0,0
"NGA","ogun",2002,0,0
"NGA","ogun",2003,0,0
"NGA","ogun",2004,0,0
"NGA","ogun",2005,0,0
"NGA","ogun",2006,0,0
"NGA","ogun",2007,0,0
"NGA","ogun",2008,0,0
"NGA","ogun",2009,0,0
"NGA","ogun",2010,0,0
"NGA","ogun",2011,0,0
"NGA","ogun",2012,0,0
"NGA","ogun",2013,0,0
"NGA","ogun",2014,0,0
"NGA","ogun",2015,0,0
"NGA","ogun",2016,0,0
"NGA","ogun",2017,0,0
"NGA","ogun",2018,0,0
"NGA","ogun",2019,0,0
"NGA","ogun",2020,0,0
"NGA","ogun",2021,0,0
"NGA","ogun",2022,0,0
"NGA","ogun",2023,0,0
"NGA","ogun",2024,0,0
"NGA","ogun",2025,0,0
"NGA","ondo",2000,0,0
"NGA","ondo",2001,0,0
"NGA","ondo",2002,0,0
"NGA","ondo",2003,0,0
"NGA","ondo",2004,0,0
"NGA","ondo",2005,0,0
"NGA","ondo",2006,0,0
"NGA","ondo",2007,0,0
"NGA","ondo",2008,0,0
"NGA","ondo",2009,0,0
"NGA","ondo",2010,0,0
"NGA","ondo",2011,0,0
"NGA","ondo",2012,0,0
"NGA","ondo",2013,0,0
"NGA","ondo",2014,0,0
"NGA","ondo",2015,0,0
"NGA","ondo",2016,0,0
"NGA","ondo",2017,0,0
"NGA","ondo",2018,0,0
"NGA","ondo",2019,0,0
"NGA","ondo",2020,0,0
"NGA","ondo",2021,0,0
"NGA","ondo",2022,0,0
"NGA","ondo",2023,0,0
"NGA","ondo",2024,0,0
"NGA","ondo",2025,0,0
"NGA","osun",2000,0,0
"NGA","osun",2001,0,0
"NGA","osun",2002,0,0
"NGA","osun",2003,0,0
"NGA","osun",2004,0,0
"NGA","osun",2005,0,0
"NGA","osun",2006,0,0
"NGA","osun",2007,0,0
"NGA","osun",2008,0,0
"NGA","osun",2009,0,0
"NGA","osun",2010,0,0
"NGA","osun",2011,0,0
"NGA","osun",2012,0,0
"NGA","osun",2013,0,0
"NGA","osun",2014,0,0
"NGA","osun",2015,0,0
"NGA","osun",2016,0,0
"NGA","osun",2017,0,0
"NGA","osun",2018,0,0
"NGA","osun",2019,0,0
"NGA","osun",2020,0,0
"NGA","osun",2021,0,0
"NGA","osun",2022,0,0
"NGA","osun",2023,0,0
"NGA","osun",2024,0,0
"NGA","osun",2025,0,0
"NGA","oyo",2000,0,0
"NGA","oyo",2001,0,0
"NGA","oyo",2002,0,0
"NGA","oyo",2003,0,0
"NGA","oyo",2004,0,0
"NGA","oyo",2005,0,0
"NGA","oyo",2006,0,0
"NGA","oyo",2007,0,0
"NGA","oyo",2008,0,0
"NGA","oyo",2009,0,0
"NGA","oyo",2010,0,0
"NGA","oyo",2011,0,0
"NGA","oyo",2012,0,0
"NGA","oyo",2013,0,0
"NGA","oyo",2014,0,0
"NGA","oyo",2015,0,0
"NGA","oyo",2016,0,0
"NGA","oyo",2017,0,0
"NGA","oyo",2018,0,0
"NGA","oyo",2019,0,0
"NGA","oyo",2020,0,0
"NGA","oyo",2021,0,0
"NGA","oyo",2022,0.153846153846154,0.153846153846154
"NGA","oyo",2023,0.153846153846154,0.153846153846154
"NGA","oyo",2024,0.153846153846154,0.153846153846154
"NGA","oyo",2025,0.153846153846154,0.153846153846154
"UGA","kampala",2000,0,0
"UGA","kampala",2001,0,0
"UGA","kampala",2002,0,0
"UGA","kampala",2003,0,0
"UGA","kampala",2004,0,0
"UGA","kampala",2005,0,0
"UGA","kampala",2006,0,0
"UGA","kampala",2007,0,0
"UGA","kampala",2008,0,0
"UGA","kampala",2009,0,0
"UGA","kampala",2010,0,0
"UGA","kampala",2011,0,0
"UGA","kampala",2012,0,0
"UGA","kampala",2013,0,0
"UGA","kampala",2014,0,0
"UGA","kampala",2015,0,0
"UGA","kampala",2016,0,0
"UGA","kampala",2017,0,0
"UGA","kampala",2018,0,0
"UGA","kampala",2019,0,0
"UGA","kampala",2020,0,0
"UGA","kampala",2021,0,0
"UGA","kampala",2022,0,0
"UGA","kampala",2023,0,0
"UGA","kampala",2024,0,0
"UGA","kampala",2025,0,0
