"fit_id","age_band","pfpr_pct","log_hazard_ratio","standard_error","lower_95","upper_95","pfpr_min","pfpr_p025","pfpr_p975","pfpr_max","within_observed_support","within_central_support","reference_within_observed_support"
"original","24-35",34.5,0.116298060182054,0.0495035387738005,0.019271124185405,0.213324996178703,0.0164865959077473,1.78413863017667,73.2069091925186,94.7588284788529,TRUE,TRUE,TRUE
"original","24-35",35,0.116618771965288,0.0507706260867981,0.0171083448351641,0.216129199095413,0.0164865959077473,1.78413863017667,73.2069091925186,94.7588284788529,TRUE,TRUE,TRUE
"original","24-35",35.5,0.116821083224961,0.0519544760018863,0.0149903102612643,0.218651856188658,0.0164865959077473,1.78413863017667,73.2069091925186,94.7588284788529,TRUE,TRUE,TRUE
"original","24-35",36,0.116917339498496,0.0530506000474704,0.0129381634054543,0.220896515591538,0.0164865959077473,1.78413863017667,73.2069091925186,94.7588284788529,TRUE,TRUE,TRUE
"original","24-35",36.5,0.116919886323317,0.0540548667544073,0.0109723474846783,0.222867425161955,0.0164865959077473,1.78413863017667,73.2069091925186,94.7588284788529,TRUE,TRUE,TRUE
"original","24-35",37,0.116840370814357,0.054964274740889,0.00911039232221467,0.224570349306499,0.0164865959077473,1.78413863017667,73.2069091925186,94.7588284788529,TRUE,TRUE,TRUE
"original","24-35",37.5,0.116684416165006,0.0557823155813648,0.00735107762553108,0.226017754704481,0.0164865959077473,1.78413863017667,73.2069091925186,94.7588284788529,TRUE,TRUE,TRUE
"original","24-35",38,0.116454567025195,0.0565157587572034,0.00568367986107668,0.227225454189314,0.0164865959077473,1.78413863017667,73.2069091925186,94.7588284788529,TRUE,TRUE,TRUE
"original","24-35",38.5,0.116153343284732,0.0571714670311183,0.0040972679037401,0.228209418665724,0.0164865959077473,1.78413863017667,73.2069091925186,94.7588284788529,TRUE,TRUE,TRUE
"original","24-35",39,0.115783264833423,0.0577563371073673,0.00258084410298319,0.228985685563863,0.0164865959077473,1.78413863017667,73.2069091925186,94.7588284788529,TRUE,TRUE,TRUE
"original","24-35",39.5,0.115346851561076,0.0582772667108428,0.00112340880782395,0.229570294314328,0.0164865959077473,1.78413863017667,73.2069091925186,94.7588284788529,TRUE,TRUE,TRUE
"original","24-35",40,0.114846623357498,0.0587411217536624,-0.000285975279680745,0.229979221994676,0.0164865959077473,1.78413863017667,73.2069091925186,94.7588284788529,TRUE,TRUE,TRUE
"original","24-35",40.5,0.114285100112495,0.0591547028601739,-0.00165811749344544,0.230228317718436,0.0164865959077473,1.78413863017667,73.2069091925186,94.7588284788529,TRUE,TRUE,TRUE
"original","24-35",41,0.113664801715876,0.0595247107713668,-0.00300363139600256,0.230333234827755,0.0164865959077473,1.78413863017667,73.2069091925186,94.7588284788529,TRUE,TRUE,TRUE
"original","24-35",41.5,0.112988248057448,0.0598577103668604,-0.00433286426159835,0.230309360376495,0.0164865959077473,1.78413863017667,73.2069091925186,94.7588284788529,TRUE,TRUE,TRUE
"original","24-35",42,0.112257959027018,0.0601600932413757,-0.00565582372607885,0.230171741780114,0.0164865959077473,1.78413863017667,73.2069091925186,94.7588284788529,TRUE,TRUE,TRUE
"original","24-35",42.5,0.111476454514392,0.0604380389608875,-0.00698210184894772,0.229935010877731,0.0164865959077473,1.78413863017667,73.2069091925186,94.7588284788529,TRUE,TRUE,TRUE
"original","24-35",43,0.110646254409378,0.0606974753044718,-0.00832079718738635,0.229613306006143,0.0164865959077473,1.78413863017667,73.2069091925186,94.7588284788529,TRUE,TRUE,TRUE
"original","24-35",43.5,0.109769878601784,0.0609440379701812,-0.00968043581977103,0.229220193023339,0.0164865959077473,1.78413863017667,73.2069091925186,94.7588284788529,TRUE,TRUE,TRUE
"original","24-35",44,0.108849846981416,0.0611830303828534,-0.0110688925689763,0.228768586531809,0.0164865959077473,1.78413863017667,73.2069091925186,94.7588284788529,TRUE,TRUE,TRUE
"original","24-35",44.5,0.107888679438083,0.0614193843819143,-0.0124933139504696,0.228270672826635,0.0164865959077473,1.78413863017667,73.2069091925186,94.7588284788529,TRUE,TRUE,TRUE
"original","24-35",45,0.10688889586159,0.061657622679819,-0.0139600445908556,0.227737836314035,0.0164865959077473,1.78413863017667,73.2069091925186,94.7588284788529,TRUE,TRUE,TRUE
"original","24-35",45.5,0.105853016141745,0.06190182405819,-0.0154745590123077,0.227180591295797,0.0164865959077473,1.78413863017667,73.2069091925186,94.7588284788529,TRUE,TRUE,TRUE
"original","24-35",46,0.104783560168355,0.0621555923011437,-0.0170414007418865,0.226608521078597,0.0164865959077473,1.78413863017667,73.2069091925186,94.7588284788529,TRUE,TRUE,TRUE
"original","24-35",46.5,0.103683047831228,0.062422029847943,-0.01866413067074,0.226030226333196,0.0164865959077473,1.78413863017667,73.2069091925186,94.7588284788529,TRUE,TRUE,TRUE
"original","24-35",47,0.102553999020171,0.0627037170772965,-0.0203452864513301,0.225453284491672,0.0164865959077473,1.78413863017667,73.2069091925186,94.7588284788529,TRUE,TRUE,TRUE
