"iso3","source_age","deaths","rate_per100000","implied_person_years","ihme_deaths_lower","ihme_deaths_upper","ihme_rate_lower","ihme_rate_upper"
"GAB","7 to 27 days (late neonatal)",130.232578737773,5267.8169878045,2472.2305091326,115.515759279059,145.735743126407,4672.53190397639,5894.90917566338
"GAB","1 to 5 months",373.197414164376,2066.62514290766,18058.3022250132,336.425638202728,411.016881359691,1862.99705260626,2276.05494823525
"GAB","6-11 months",392.716389310434,1882.48122396314,20861.6364567854,353.19946737996,435.224477194961,1693.05734049967,2086.24322495756
"GAB","12 to 23 months",309.55259713914,764.07562981851,40513.3451531058,276.635042259002,342.3935613589,682.82448959364,845.13771959572
"GAB","2 to 4",426.889821849803,373.37831494223,114331.712573038,382.815278361751,477.828095477664,334.8286050707,417.93137242863
"GHA","0 to 6 days (early neonatal)",19480.0826858746,136860.167941724,14233.5662587886,18191.110025527,20769.8667861856,127804.302131905,145921.734641599
"GHA","7 to 27 days (late neonatal)",3002.75651940581,7153.25843372104,41977.4644971664,2734.12556943342,3313.17945677058,6513.31756737707,7892.75745083227
"GHA","1 to 5 months",8027.58193024648,2629.74070681376,305261.347989431,7253.58017233883,8936.59295556865,2376.18690348899,2927.5219461712
"GHA","6-11 months",6329.63306178215,1807.76911155005,350135.037784493,5704.8736089541,6935.5516337881,1629.33525449271,1980.82193592316
"GHA","12 to 23 months",7309.69443243038,1069.73309288564,683319.463616129,6464.73902055117,8006.51816602773,946.0785715571,1171.70936762977
"GHA","2 to 4",13230.1660286932,683.83987549135,1934687.71021683,11864.0221105847,14544.4424280933,613.22672635652,751.77210002865
"GIN","0 to 6 days (early neonatal)",11274.268492473,156553.391307752,7201.54855688184,10622.4278973714,11956.268801122,147501.996459088,166023.580993514
"GIN","7 to 27 days (late neonatal)",2657.03064987214,12597.8844099881,21091.0861173288,2381.0056131029,2960.87139372208,11289.1559963174,14038.4965347487
"GIN","1 to 5 months",7224.32156929645,4761.14468561602,151734.972287693,6536.32315904691,8022.31911153051,4307.72356596466,5287.06005647794
"GIN","6-11 months",6110.4873971731,3551.17858838078,172069.279116691,5481.72843231408,6719.77616630618,3185.76823268758,3905.27362048694
"GIN","12 to 23 months",7614.1759999697,2273.96178951538,334841.8621226,6891.75121165603,8483.61078201214,2058.2107529711,2533.61713145232
"GIN","2 to 4",12363.8905821177,1347.47433028382,917560.379759772,10998.0559022778,13740.2042308637,1198.61931104275,1497.47139631956
"GMB","0 to 6 days (early neonatal)",1875.94935148696,150029.725848869,1250.38510926606,1766.38470805038,1995.00055422628,141267.253981231,159550.88871758
"GMB","7 to 27 days (late neonatal)",341.161162956412,9253.45351802308,3686.85229024956,306.588637373798,378.17349247522,8315.72879077956,10257.3540435932
"GMB","1 to 5 months",731.926432554522,2723.81243978712,26871.3962042014,655.433420994495,814.174875823212,2439.14910864221,3029.89420287701
"GMB","6-11 months",558.086798820659,1802.84123686397,30955.9592608081,501.560219899893,623.366781613164,1620.23801515625,2013.7214174538
"GMB","12 to 23 months",623.034590461816,1055.45861245544,59029.7509641213,564.715058499626,683.744598551763,956.66176678072,1158.30507055221
"GMB","2 to 4",1114.68393447342,703.84642086843,158370.334979908,992.928407328933,1245.36064042791,626.96615970087,786.35979433011
"GNB","0 to 6 days (early neonatal)",2301.69846118623,204590.615003795,1125.02641489373,2193.81289207162,2408.39781938025,195001.011801029,214074.779711528
"GNB","7 to 27 days (late neonatal)",413.560175593897,12562.7120107149,3291.96574148293,372.761370115282,458.978377198111,11323.3672336871,13942.3801230494
"GNB","1 to 5 months",1327.39951244692,5580.66656618235,23785.6803789476,1205.47686395561,1449.97744424284,5068.07812410764,6096.00995700841
"GNB","6-11 months",884.312081581951,3254.14528948913,27174.9415872203,805.656566093781,968.894719292653,2964.70394796603,3565.39761523647
"GNB","12 to 23 months",920.289238074986,1770.48212320193,51979.5837537538,819.823785074995,1006.89470896533,1577.20344387288,1937.09652184857
"GNB","2 to 4",1919.99035699161,1364.05055521403,140756.539385767,1745.21580353475,2121.3140604284,1239.88257394684,1507.0802889055
"GNQ","0 to 6 days (early neonatal)",712.466627092364,112492.548563075,633.345618170327,651.665973411007,763.655986905138,102892.631560885,120574.922285128
"GNQ","7 to 27 days (late neonatal)",173.524146580366,9277.57579820737,1870.36086101172,157.230210422781,194.729277437883,8406.41042593952,10411.3212320188
"GNQ","1 to 5 months",604.811492597226,4465.13660827709,13545.1957164329,543.60306047458,663.361536118307,4013.25364250798,4897.39351136523
"GNQ","6-11 months",438.860989074134,2848.41947712808,15407.1755441237,396.211752782264,485.1177810979,2571.60536431597,3148.64836652636
