"survey","country","region","records","deaths","distinct_children","lat","lon","survey_year","sahel","east_africa","early","late"
"CD61FL","COD","COD:CD61FL:equateur",16090,275,4776,1.06470498917108,20.5820689662448,2013,FALSE,FALSE,TRUE,FALSE
"CD61FL","COD","COD:CD61FL:kinshasa",5651,68,1660,-4.43322954951657,15.9040520312409,2013,FALSE,FALSE,TRUE,FALSE
"CD61FL","COD","COD:CD61FL:bandundu",13240,146,3945,-4.38122748295184,18.3585667160755,2013,FALSE,FALSE,TRUE,FALSE
"CD61FL","COD","COD:CD61FL:sudkivu",5985,123,1799,-3.22579424457102,28.2605854985226,2013,FALSE,FALSE,TRUE,FALSE
"CD61FL","COD","COD:CD61FL:orientale",11171,204,3342,2.08796362142341,26.351931760936,2013,FALSE,FALSE,TRUE,FALSE
"CD61FL","COD","COD:CD61FL:kasaioccidental",9108,170,2740,-5.42031210630408,21.6195677990998,2013,FALSE,FALSE,TRUE,FALSE
"CD61FL","COD","COD:CD61FL:katanga",13210,251,3948,-8.75330845822631,26.3996635709251,2013,FALSE,FALSE,TRUE,FALSE
"CD61FL","COD","COD:CD61FL:nordkivu",5985,45,1763,-0.607658836247161,28.6980269591587,2013,FALSE,FALSE,TRUE,FALSE
"CD61FL","COD","COD:CD61FL:bascongo",4874,87,1440,-5.28697599412689,14.3162056011049,2013,FALSE,FALSE,TRUE,FALSE
"CD61FL","COD","COD:CD61FL:kasaioriental",11872,234,3565,-4.4946789240803,23.9366059740659,2013,FALSE,FALSE,TRUE,FALSE
