"iso3","Location","Year","Age","Unit","Value","Lower","Upper"
"ETH","Ethiopia",2015,"6-11 months","Number",23181.7931401001,21559.6159994845,24896.0844391605
"ETH","Ethiopia",2015,"6-11 months","Rate (per 100,000)",1517.51457862297,1411.32445583497,1629.73463091179
"KEN","Kenya",2015,"Under 5","Number",58800.8181651059,56980.9864760603,60592.4207786439
"KEN","Kenya",2015,"Under 5","Rate (per 100,000)",904.59733128293,876.60086897738,932.159514829
"KEN","Kenya",2015,"0 to 6 days (early neonatal)","Number",22277.3811901825,20843.321746767,23713.0419166038
"KEN","Kenya",2015,"0 to 6 days (early neonatal)","Rate (per 100,000)",87252.5414465415,81635.8430583776,92875.5114880315
"KEN","Kenya",2015,"7 to 27 days (late neonatal)","Number",3462.57632119187,3206.70459683801,3726.83526540884
"KEN","Kenya",2015,"7 to 27 days (late neonatal)","Rate (per 100,000)",4568.40257706165,4230.81433740864,4917.05662242775
"MRT","Mauritania",2015,"Under 5","Number",6687.89899376321,6502.78523677293,6881.25600779117
"MRT","Mauritania",2015,"Under 5","Rate (per 100,000)",1041.73437196912,1012.90029963027,1071.85244758032
"MRT","Mauritania",2015,"0 to 6 days (early neonatal)","Number",2777.65733330479,2642.79359221576,2932.26347441413
"MRT","Mauritania",2015,"0 to 6 days (early neonatal)","Rate (per 100,000)",105817.240384536,100679.490404053,111707.09404018
"KEN","Kenya",2015,"Under 1","Number",44624.5623356455,43050.0990915779,46246.7470613855
"KEN","Kenya",2015,"Under 1","Rate (per 100,000)",3405.65872808204,3285.49879354034,3529.46067213751
"MRT","Mauritania",2015,"7 to 27 days (late neonatal)","Number",581.545107236431,538.706266478941,629.719038211529
"MRT","Mauritania",2015,"7 to 27 days (late neonatal)","Rate (per 100,000)",7479.04628063327,6928.11107604271,8098.59419669254
"MRT","Mauritania",2015,"Under 1","Number",5151.7202004556,4968.38878178572,5352.72283574373
"MRT","Mauritania",2015,"Under 1","Rate (per 100,000)",3856.51914293554,3719.27932825394,4006.98742937325
"KEN","Kenya",2015,"2 to 4","Number",8215.24411261807,7577.25219584979,8898.61986151735
"KEN","Kenya",2015,"2 to 4","Rate (per 100,000)",211.3455033931,194.93251298627,228.926039002
"KEN","Kenya",2015,"12 to 23 months","Number",5961.01171684229,5529.4499208648,6386.45329609147
"KEN","Kenya",2015,"12 to 23 months","Rate (per 100,000)",457.55449904103,424.42873939761,490.21048394952
"MRT","Mauritania",2015,"2 to 4","Number",974.742121971038,906.409445796682,1059.36352755567
"MRT","Mauritania",2015,"2 to 4","Rate (per 100,000)",258.16976430509,240.07120212682,280.58255210046
"KEN","Kenya",2015,"1 to 5 months","Number",9946.99450057862,9281.68091520864,10673.8928230043
"KEN","Kenya",2015,"1 to 5 months","Rate (per 100,000)",1785.44437001477,1666.02333331629,1915.91961228745
