"svkey","iso3","survey_year","band","month","age_months","person_months_w","person_months_n","deaths_w","deaths_n"
"NG7BFL","NGA",2018,"<1 month",7,0,1112.335654,930,39.050554,34
"SN81FL","SEN",2018,"<1 month",7,0,401.551541,460,4.635289,9
"GM81FL","GMB",2019,"<1 month",7,0,400.360724,469,10.476689,21
"SN8BFL","SEN",2019,"<1 month",7,0,373.325892,404,5.117464,8
"MR71FL","MRT",2020,"<1 month",7,0,898.923217,872,24.070898,24
"BF81FL","BFA",2021,"<1 month",7,0,868.688197,806,7.009509,9
"ML8AFL","MLI",2023,"<1 month",7,0,1134.646539,1150,30.543238,31
"SN8SFL","SEN",2023,"<1 month",7,0,623.621587,653,28.174628,19
"NG8BFL","NGA",2024,"<1 month",7,0,929.736974999999,735,41.2209,33
"ML41FL","MLI",2001,"<1 month",8,0,989.522165,951,44.702765,43
"BF43FL","BFA",2003,"<1 month",8,0,925.228905,821,34.458467,28
"NG4BFL","NGA",2003,"<1 month",8,0,134.62627,117,2.725764,1
"CM44FL","CMR",2004,"<1 month",8,0,99.25688,60,3.15572,2
"TD41FL","TCD",2004,"<1 month",8,0,363.643789,398,12.501403,10
"GN52FL","GIN",2005,"<1 month",8,0,85.991398,89,1.800365,2
"SN4AFL","SEN",2005,"<1 month",8,0,864.594631,914,25.829829,31
"BJ51FL","BEN",2006,"<1 month",8,0,163.73448,150,4.478551,4
"ML53FL","MLI",2006,"<1 month",8,0,1139.700678,1107,52.817403,54
"NI51FL","NER",2006,"<1 month",8,0,1047.636962,944,45.927927,35
"NG53FL","NGA",2008,"<1 month",8,0,742.711419000005,681,30.115312,26
"SN5AFL","SEN",2008,"<1 month",8,0,1020.659832,1166,24.960759,33
"BF62FL","BFA",2010,"<1 month",8,0,1345.552994,1265,51.740678,44
"NG61FL","NGA",2010,"<1 month",8,0,201.028193,153,9.016101,6
"SN61FL","SEN",2010,"<1 month",8,0,971.296883,1098,31.471995,30
"CM61FL","CMR",2011,"<1 month",8,0,222.924719,147,4.614056,4
"BJ61FL","BEN",2012,"<1 month",8,0,45.771049,52,0,0
"GN62FL","GIN",2012,"<1 month",8,0,129.371464,147,6.322526,6
"ML6AFL","MLI",2012,"<1 month",8,0,934.796069,948,26.260156,28
"NI61FL","NER",2012,"<1 month",8,0,1033.12657,986,37.116819,35
"SN6DFL","SEN",2012,"<1 month",8,0,647.446047,698,16.516176,20
"GM61FL","GMB",2013,"<1 month",8,0,625.3981,699,23.603928,19
"NG6AFL","NGA",2013,"<1 month",8,0,922.696667000001,791,33.681588,29
"SN71FL","SEN",2014,"<1 month",8,0,599.015319,653,12.982599,21
"TD71FL","TCD",2014,"<1 month",8,0,952.608206,1060,32.091056,29
"SN7AFL","SEN",2015,"<1 month",8,0,574.454211,677,18.104767,24
"SN7IFL","SEN",2016,"<1 month",8,0,548.973726,604,11.107636,12
"BJ71FL","BEN",2017,"<1 month",8,0,153.214329,133,0,0
"SN7ZFL","SEN",2017,"<1 month",8,0,900.505875,949,23.414111,28
"CM71FL","CMR",2018,"<1 month",8,0,212.009036,143,0,0
"GN71FL","GIN",2018,"<1 month",8,0,99.960819,121,5.208554,8
"ML7AFL","MLI",2018,"<1 month",8,0,995.73362,938,28.947992,26
"NG7BFL","NGA",2018,"<1 month",8,0,1237.268798,1042,48.785203,38
"SN81FL","SEN",2018,"<1 month",8,0,488.298826,553,15.414331,13
"GM81FL","GMB",2019,"<1 month",8,0,504.600246,598,14.764601,19
"SN8BFL","SEN",2019,"<1 month",8,0,445.966866,475,9.239394,13
"MR71FL","MRT",2020,"<1 month",8,0,1085.854854,1065,23.03772,25
"BF81FL","BFA",2021,"<1 month",8,0,990.79508,918,16.005757,13
"ML8AFL","MLI",2023,"<1 month",8,0,1315.90415,1334,33.178021,27
"SN8SFL","SEN",2023,"<1 month",8,0,775.141804,809,18.370158,24
"NG8BFL","NGA",2024,"<1 month",8,0,928.352880999998,739,43.961153,38
"ML41FL","MLI",2001,"<1 month",9,0,1099.510208,1021,64.068124,59
"BF43FL","BFA",2003,"<1 month",9,0,808.310446,758,13.282238,13
"NG4BFL","NGA",2003,"<1 month",9,0,155.33721,129,14.291729,10
"CM44FL","CMR",2004,"<1 month",9,0,122.32948,74,0,0
"TD41FL","TCD",2004,"<1 month",9,0,367.705791,375,7.182322,9
"GN52FL","GIN",2005,"<1 month",9,0,58.160459,60,0,0
"SN4AFL","SEN",2005,"<1 month",9,0,896.168913,933,21.451804,23
"BJ51FL","BEN",2006,"<1 month",9,0,100.593232,91,2.505562,2
"ML53FL","MLI",2006,"<1 month",9,0,1134.592235,1133,52.52418,56
"NI51FL","NER",2006,"<1 month",9,0,873.967247,823,37.170439,25
"NG53FL","NGA",2008,"<1 month",9,0,588.614923000001,536,21.259112,18
