"svkey","iso3","survey_year","regkey","band","month","person_months_w","person_months_n","deaths_w","deaths_n"
"NI51FL","NER",2006,"tahoua","<1 month",1,209.7846,148,10.878422,6
"NI61FL","NER",2012,"tahoua","<1 month",1,297.225877,233,4.309384,4
"SN4AFL","SEN",2005,"tambacounda","<1 month",1,67.945303,93,3.669706,6
"SN5AFL","SEN",2008,"tambacounda","<1 month",1,38.05229,32,0,0
"SN61FL","SEN",2010,"tambacounda","<1 month",1,44.705933,65,0.49422,1
"SN7ZFL","SEN",2017,"tambacounda","<1 month",1,51.780136,70,0,0
"SN8SFL","SEN",2023,"tambacounda","<1 month",1,53.28867,86,3.256909,5
"SN4AFL","SEN",2005,"thies","<1 month",1,157.475875,125,0,0
"SN5AFL","SEN",2008,"thies","<1 month",1,181.767097,77,7.345637,4
"SN61FL","SEN",2010,"thies","<1 month",1,124.461261,83,2.874734,2
"SN7ZFL","SEN",2017,"thies","<1 month",1,121.705447,81,5.626307,3
"SN8SFL","SEN",2023,"thies","<1 month",1,135.152698,80,5.181503,3
"NI51FL","NER",2006,"tillaberi","<1 month",1,109.409511,109,0.929346,1
"NI61FL","NER",2012,"tillaberi","<1 month",1,248.921474,245,10.112004,9
"MR71FL","MRT",2020,"tiriszemourandinchiri","<1 month",1,16.348844,46,0,0
"ML53FL","MLI",2006,"tombouctou","<1 month",1,56.369326,81,6.033489,8
"ML7AFL","MLI",2018,"tombouctou","<1 month",1,23.971103,69,1.559019,4
"ML8AFL","MLI",2023,"tombouctou","<1 month",1,32.629679,166,0.870246,4
"MR71FL","MRT",2020,"trarza","<1 month",1,43.614919,63,0,0
"TD71FL","TCD",2014,"wadifira","<1 month",1,41.570162,81,0,0
"SN6DFL","SEN",2012,"west","<1 month",1,146.827492,82,5.100979,2
"SN71FL","SEN",2014,"west","<1 month",1,199.25427,81,4.822028,2
"SN7AFL","SEN",2015,"west","<1 month",1,209.28536,96,13.364478,6
"SN7IFL","SEN",2016,"west","<1 month",1,187.908869,82,0,0
"SN81FL","SEN",2018,"west","<1 month",1,130.727273,67,1.069515,1
"SN8BFL","SEN",2019,"west","<1 month",1,184.015099,89,1.298502,2
"MR71FL","MRT",2020,"westernbasinregion","<1 month",1,118.587923,104,2.444615,2
"MR71FL","MRT",2020,"westnouakchott","<1 month",1,58.038446,48,0,0
"SN4AFL","SEN",2005,"ziguinchor","<1 month",1,37.645929,62,0.221311,1
"SN5AFL","SEN",2008,"ziguinchor","<1 month",1,37.884876,46,0.766594,1
"SN61FL","SEN",2010,"ziguinchor","<1 month",1,28.79224,46,0.358726,1
"SN7ZFL","SEN",2017,"ziguinchor","<1 month",1,42.938093,63,0.853612,1
"SN8SFL","SEN",2023,"ziguinchor","<1 month",1,23.631558,33,0.397102,1
"NI51FL","NER",2006,"zinder","<1 month",1,132.435284,87,1.408439,2
"NI61FL","NER",2012,"zinder","<1 month",1,360.96405,232,4.226851,3
"TD41FL","TCD",2004,"zone1","<1 month",1,33.105889,80,2.240813,5
"TD41FL","TCD",2004,"zone2","<1 month",1,27.614268,20,0,0
"TD41FL","TCD",2004,"zone3","<1 month",1,24.445973,33,1.417015,1
"TD41FL","TCD",2004,"zone4","<1 month",1,12.675775,19,0,0
"TD41FL","TCD",2004,"zone5","<1 month",1,24.77214,24,0,0
"MR71FL","MRT",2020,"adrar","1-5 months",1,74.759112,193,0,0
"NI51FL","NER",2006,"agadez","1-5 months",1,89.607039,319,0,0
"NI61FL","NER",2012,"agadez","1-5 months",1,54.101795,198,0,0
"BJ51FL","BEN",2006,"alibori","1-5 months",1,464.983687,419,3.36422,3
"BJ61FL","BEN",2012,"alibori","1-5 months",1,203.703811,219,0,0
"BJ71FL","BEN",2017,"alibori","1-5 months",1,661.34172,589,0,0
"MR71FL","MRT",2020,"assaba","1-5 months",1,429.798635,474,1.336135,1
"ML41FL","MLI",2001,"bamako","1-5 months",1,540.689788,535,1.739335,2
"ML53FL","MLI",2006,"bamako","1-5 months",1,583.220585,562,0,0
"ML6AFL","MLI",2012,"bamako","1-5 months",1,410.976688,592,1.139954,2
"ML7AFL","MLI",2018,"bamako","1-5 months",1,546.261343,499,0,0
"ML8AFL","MLI",2023,"bamako","1-5 months",1,832.25461,741,2.006455,2
"GM61FL","GMB",2013,"banjul","1-5 months",1,63.73288,296,0,0
"GM81FL","GMB",2019,"banjul","1-5 months",1,35.123194,208,0.175399,1
"TD71FL","TCD",2014,"barhelgazal","1-5 months",1,97.827164,368,0.718413,1
"GM61FL","GMB",2013,"basse","1-5 months",1,527.267966,538,1.605527,2
"GM81FL","GMB",2019,"basse","1-5 months",1,448.500746,769,0.470245,1
"TD71FL","TCD",2014,"batha","1-5 months",1,349.238682,321,1.84063,1
"GN52FL","GIN",2005,"boke","1-5 months",1,174.873184,186,0.84467,1
"GN62FL","GIN",2012,"boke","1-5 months",1,198.402263,201,0,0
"GN71FL","GIN",2018,"boke","1-5 months",1,223.486944,301,0.523318,1
"TD71FL","TCD",2014,"borkoutibesti","1-5 months",1,24.381751,168,0,0
"BF43FL","BFA",2003,"boucledumouhoun","1-5 months",1,335.781883,324,1.08967,1
"BF62FL","BFA",2010,"boucledumouhoun","1-5 months",1,698.168139,533,3.359524,3
"BF81FL","BFA",2021,"boucledumouhoun","1-5 months",1,446.276196,400,0,0
"MR71FL","MRT",2020,"brakna","1-5 months",1,398.223714,445,0,0
"GM61FL","GMB",2013,"brikama","1-5 months",1,1177.554762,630,1.354667,1
"GM81FL","GMB",2019,"brikama","1-5 months",1,1399.38058,631,0,0
"SN6DFL","SEN",2012,"center","1-5 months",1,964.129079,1146,2.250434,2
"SN71FL","SEN",2014,"center","1-5 months",1,885.132724000001,1149,2.72176,5
"SN7AFL","SEN",2015,"center","1-5 months",1,1032.872357,1173,0.494248,1
"SN7IFL","SEN",2016,"center","1-5 months",1,934.940786000001,1103,2.361147,2
"SN81FL","SEN",2018,"center","1-5 months",1,1018.195349,1134,0.80538,1
"SN8BFL","SEN",2019,"center","1-5 months",1,907.198172000001,947,0,0
"BF62FL","BFA",2010,"centre","1-5 months",1,531.149206,380,0.843644,1
"BF81FL","BFA",2021,"centre","1-5 months",1,882.126891,533,0,0
"BF43FL","BFA",2003,"centreest","1-5 months",1,303.115732,261,3.127681,2
"BF62FL","BFA",2010,"centreest","1-5 months",1,475.666395,475,0,0
"BF81FL","BFA",2021,"centreest","1-5 months",1,514.076713,462,2.838294,2
"BF43FL","BFA",2003,"centrenord","1-5 months",1,448.654405,400,0.818988,1
"BF62FL","BFA",2010,"centrenord","1-5 months",1,514.330631,477,1.608907,1
"BF81FL","BFA",2021,"centrenord","1-5 months",1,457.609229,349,0,0
"BF43FL","BFA",2003,"centreouest","1-5 months",1,333.674621,470,1.021207,3
"BF62FL","BFA",2010,"centreouest","1-5 months",1,521.280568,566,0.489647,1
"BF81FL","BFA",2021,"centreouest","1-5 months",1,532.579412,455,2.576216,2
"BF43FL","BFA",2003,"centresud","1-5 months",1,181.802324,218,0,0
"BF62FL","BFA",2010,"centresud","1-5 months",1,281.031807,403,1.043799,1
"BF81FL","BFA",2021,"centresud","1-5 months",1,211.229009,307,0,0
"TD71FL","TCD",2014,"charibaguirmi","1-5 months",1,261.325632,288,1.045488,1
"SN4AFL","SEN",2005,"dakar","1-5 months",1,908.599373,378,2.779361,2
"SN5AFL","SEN",2008,"dakar","1-5 months",1,1165.509612,401,5.367863,2
"SN61FL","SEN",2010,"dakar","1-5 months",1,1076.396861,373,0,0
"SN7ZFL","SEN",2017,"dakar","1-5 months",1,1080.665221,385,2.253073,1
"SN8SFL","SEN",2023,"dakar","1-5 months",1,991.051948,329,0,0
"NI51FL","NER",2006,"diffa","1-5 months",1,88.94839,295,0,0
"NI61FL","NER",2012,"diffa","1-5 months",1,72.824661,223,0,0
"SN4AFL","SEN",2005,"diourbel","1-5 months",1,586.036542,535,1.688098,2
"SN5AFL","SEN",2008,"diourbel","1-5 months",1,560.150141,410,0,0
"SN61FL","SEN",2010,"diourbel","1-5 months",1,602.436005,460,0,0
"SN7ZFL","SEN",2017,"diourbel","1-5 months",1,703.004151,487,3.300878,2
"SN8SFL","SEN",2023,"diourbel","1-5 months",1,490.762397,347,0,0
"NI51FL","NER",2006,"dosso","1-5 months",1,600.810768,639,0,0
"NI61FL","NER",2012,"dosso","1-5 months",1,525.345646,571,2.296102,2
"MR71FL","MRT",2020,"easternbasinregion","1-5 months",1,758.811451,482,0,0
"BF43FL","BFA",2003,"est","1-5 months",1,299.89901,257,1.281174,1
"BF62FL","BFA",2010,"est","1-5 months",1,604.046084,552,1.340682,1
"BF81FL","BFA",2021,"est","1-5 months",1,320.156837,258,0,0
"CM44FL","CMR",2004,"farnorth","1-5 months",1,645.2892,388,3.48324,2
"CM61FL","CMR",2011,"farnorth","1-5 months",1,992.316362999999,647,2.865545,2
"CM71FL","CMR",2018,"farnorth","1-5 months",1,751.256483,501,0,0
"SN4AFL","SEN",2005,"fatick","1-5 months",1,268.408568,408,0,0
"SN5AFL","SEN",2008,"fatick","1-5 months",1,369.719596,450,0,0
"SN61FL","SEN",2010,"fatick","1-5 months",1,294.852712,407,0,0
"SN7ZFL","SEN",2017,"fatick","1-5 months",1,260.330395,400,0,0
"SN8SFL","SEN",2023,"fatick","1-5 months",1,286.592786,376,0,0
"ML53FL","MLI",2006,"gao","1-5 months",1,162.509798,243,0,0
"ML7AFL","MLI",2018,"gao","1-5 months",1,79.306975,181,0,0
"ML8AFL","MLI",2023,"gao","1-5 months",1,161.353645,388,1.087083,2
"MR71FL","MRT",2020,"gorgol","1-5 months",1,464.744882,489,3.136497,2
"TD71FL","TCD",2014,"guera","1-5 months",1,479.386975,389,4.476095,3
"MR71FL","MRT",2020,"guidimagha","1-5 months",1,473.537897,690,0.44825,1
"TD71FL","TCD",2014,"hadjerlamis","1-5 months",1,499.173963,375,1.077167,1
