"iso3","country","year","map_matched","snow_matched","map_full","snow_full","pfpr_pct","previous_map_gamma1","ihme_malaria","matched_snow_minus_map","matched_snow_vs_map_percent","full_snow_minus_map","full_snow_vs_map_percent","map_gamma2_minus_previous","map_gamma2_vs_previous_percent"
"NER","Niger",2015,40784.1799890819,32385.5251168435,43726.5848972961,32357.5937602016,24.4675094266675,40558.7211205351,23833.605476099,-8398.65487223836,-20.5929232228936,-11368.9911370945,-26.0001808140235,3167.86377676102,7.81056130282449
"NGA","Nigeria",2015,239346.080042664,190256.251280712,256388.667556167,190068.584861192,24.7148386742744,236788.087657324,131749.412498181,-49089.8287619518,-20.5099781676815,-66320.0826949753,-25.8670101635621,19600.5798988434,8.27768833000124
"RWA","Rwanda",2015,1271.40838948547,924.633330104092,1379.29344795817,923.271517295664,3.51517020020461,1281.34175860812,2258.86330735559,-346.775059381378,-27.2748758187537,-456.021930662506,-33.0619949900854,97.95168935005,7.64446243104195
"SEN","Senegal",2015,1208.34648229745,880.186138045713,1280.62707976676,878.634108696953,3.7940130969993,1192.30646290114,1477.05079283071,-328.160344251736,-27.157801926795,-401.992971069809,-31.3903225553393,88.3206168656211,7.40754324611459
"SLE","Sierra Leone",2015,9052.40117598918,7718.08564914731,9562.93405349095,7711.13327353278,39.4884460983626,8584.40865239291,5877.6609699097,-1334.31552684187,-14.7399071351482,-1851.80077995817,-19.3643579428656,978.525401098039,11.3988678862029
"SOM","Somalia",2015,3876.27624238062,2814.59902211817,4256.09209856952,2810.85954998445,3.06207942936047,3952.9915019971,1156.96102925527,-1061.67722026245,-27.3891011340931,-1445.23254858506,-33.9567968717315,303.100596572416,7.66762580742422
"SSD","South Sudan",2015,9836.84901778863,7927.40000000395,10487.2657041691,7919.93660900126,26.9542365045867,9532.80304383181,4239.80271119919,-1909.44901778468,-19.4111855771263,-2567.3290951678,-24.4804429256255,954.462660337249,10.012403025098
"STP","Sao Tome and Principe",2015,,,,,,,1.97586382035857,,,,,,
"SWZ","Swaziland",2015,44.1370763478657,31.6155213198118,47.5983160014014,31.561664923132,1.50976317944939,43.3916279735447,1.1775372350791,-12.5215550280539,-28.3696974610766,-16.0366510782694,-33.6916353885234,4.20668802785669,9.69469970202881
"TCD","Chad",2015,16111.8952646406,12263.5131880931,17404.1833435077,12249.7488912966,15.4351335502291,16164.6085007125,3813.80248648943,-3848.38207654749,-23.8853469026279,-5154.43445221109,-29.6160661518993,1239.57484279523,7.66844951883987
"TGO","Togo",2015,5614.19543837944,4702.88169936115,5953.87757429196,4697.9355755757,35.5367930048613,5374.49401822495,2690.54017770444,-911.313739018292,-16.2323123414696,-1255.94199871626,-21.0945217304979,579.383556067012,10.7802437606651
"TZA","Tanzania",2015,12226.3219778902,9143.07232736654,12701.4581424046,9125.91111437096,10.3871042581125,11768.5183063765,9239.79602778234,-3083.24965052369,-25.218129017863,-3575.5470280336,-28.1506815040112,932.939836028056,7.92741967799433
"UGA","Uganda",2015,23831.6280008997,18767.1433915241,25085.8245186195,18741.5400648518,22.5283221289013,23021.8512873042,20152.3749939553,-5064.48460937558,-21.2511063414736,-6344.28445376768,-25.290316644999,2063.97323131531,8.96527914092435
"ZMB","Zambia",2015,8819.30215029064,6840.1704868166,9330.48702529372,6831.03501309512,18.7741653137543,8620.16202187501,3116.41915303928,-1979.13166347404,-22.440910060087,-2499.4520121986,-26.788012302283,710.325003418711,8.24027438946218
"ZWE","Zimbabwe",2015,2472.96553346055,1823.26524986481,2609.89517477102,1820.06204775814,6.83446267073993,2414.62297877854,786.280022691115,-649.70028359574,-26.2721123608456,-789.833127012889,-30.2630210840626,195.272195992484,8.08706774136905
"AGO","Angola",2024,18495.0096178569,14389.1486249788,19892.3734859613,14373.9782956381,20.3401829769949,18389.5864924132,14651.9398492798,-4105.86099287811,-22.1998316178972,-5518.39519032314,-27.7412607108833,1502.78699354808,8.17194554194067
"BDI","Burundi",2024,10931.3083490465,8652.58954116837,11645.5909175127,8643.03410387427,23.4246685162394,10705.7766586955,14430.2985954673,-2278.71880787812,-20.8458012080218,-3002.55681363848,-25.7827776615715,939.814258817243,8.77857150189942
"BEN","Benin",2024,10520.6494785831,8810.34754731859,11184.9627345769,8802.07379060156,36.4070797441475,10124.5820740159,7361.29305522589,-1710.30193126454,-16.2566192776045,-2382.88894397534,-21.3043977036145,1060.380660561,10.4733277167302
"BFA","Burkina Faso",2024,12257.1042762821,9619.14468366177,12920.7417228671,9606.28700032821,20.8912355688325,11923.0869179234,10708.7756030255,-2637.95959262031,-21.5218826009733,-3314.45472253892,-25.6522016586168,997.654804943728,8.36742038208245
"BWA","Botswana",2024,1.20508155773326,0.86615519977351,1.28835985605288,0.864616026702746,0.0785030798269115,1.1698511509753,0.695282142301979,-0.338926357959753,-28.1247651484492,-0.423743829350133,-32.8901764021387,0.118508705077579,10.1302379348671
"CAF","Central African Republic",2024,8021.41818640202,6666.68659935228,8596.50927857257,6659.83674862742,33.7356038277751,7739.86356587316,3864.81190981826,-1354.73158704974,-16.8889285606165,-1936.67252994515,-22.5285923295919,856.64571269941,11.0679691626162
"CIV","Cote d'Ivoire",2024,16138.6964352353,12687.9942062207,16930.6516900361,12669.6680221068,21.6015841554766,15512.8993471262,12847.9944570404,-3450.70222901463,-21.3815424489972,-4260.98366792925,-25.1672749870396,1417.75234290986,9.13918353484646
"CMR","Cameroon",2024,20363.024025607,16204.7220413148,21671.2753328695,16186.8382358181,25.1740174516115,19927.350939731,16295.439261067,-4158.30198429219,-20.4208470169412,-5484.43709705136,-25.3074035229157,1743.92439313847,8.7514110551516
"COD","Democratic Republic of the Congo",2024,61414.4985162427,51336.9221156871,65442.4084363104,51289.3826639477,36.0589155594133,59071.6613859364,61774.2754897226,-10077.5764005556,-16.4091161599086,-14153.0257723627,-21.6266884280957,6370.74705037403,10.7847771687877
"COG","Congo",2024,1819.11228117296,1434.02801541433,1934.47066427067,1432.28411594266,23.0367800311056,1774.85986619447,1414.45241393579,-385.084265758628,-21.1688013842844,-502.186548328,-25.9598947455393,159.610798076195,8.99286761260885
"COM","Comoros",2024,23.6641858847217,17.0512769866155,24.8073593318567,17.0162776387571,2.05693091322994,22.7904128598407,3.33028598949748,-6.61290889810623,-27.9447978067807,-7.79108169309963,-31.4063322455067,2.01694647201601,8.84997777100429
"CPV","Cape Verde",2024,,,,,,,3.47634329775336e-24,,,,,,
"DJI","Djibouti",2024,71.0743333690938,51.7049658747944,74.0709803923136,51.6053423914798,4.3967566637446,67.6052737007714,19.4005119570286,-19.3693674942994,-27.2522675572812,-22.4656380008338,-30.3298780194964,6.46570669154224,9.563908756823
"ERI","Eritrea",2024,209.24203659459,150.542877183295,233.981511319375,150.376591389363,1.01244593723427,218.362677217217,43.3765641194195,-58.6991594112956,-28.0532346017192,-83.6049199300117,-35.7314214523106,15.6188341021578,7.15270315477079
"ETH","Ethiopia",2024,8197.34915284963,5966.25024959536,8519.14268710057,5954.10108732171,3.96841512486915,7869.25780170302,8908.38144328392,-2231.09890325427,-27.2173218640892,-2565.04159977886,-30.1091517537647,649.884885397553,8.25852833614002
"GAB","Gabon",2024,326.058889686845,251.511947958618,340.823421878058,251.101185489195,18.3938632660677,313.6754043581,264.514045573738,-74.546941728227,-22.863029988179,-89.7222363888636,-26.3251380713398,27.1480175199581,8.65481231322978
"GHA","Ghana",2024,6630.11200431164,5099.81665682994,6948.00740968288,5091.98442342782,16.1544407206884,6441.39209155456,6745.25942954957,-1530.2953474817,-23.0809878699867,-1856.02298625506,-26.7130254304057,506.615318128319,7.86499736279915
