"survey","country","region","records","deaths","distinct_children","regkey","survey_year","lat","lon","selected","exclusion"
"CM44FL","CMR","CMR:CM44FL:northwest",2264,30,992,"northwest",2004,6.37000778375959,10.359591412647,FALSE,"centroid_south_of_12N"
"CM44FL","CMR","CMR:CM44FL:southwest",1823,45,777,"southwest",2004,5.19987323001361,9.29135561554621,FALSE,"centroid_south_of_12N"
"CM44FL","CMR","CMR:CM44FL:centre",2606,47,1102,"centre",2004,4.67043092451188,11.8277491655878,FALSE,"centroid_south_of_12N"
"CM61FL","CMR","CMR:CM61FL:farnorth",9944,251,3028,"farnorth",2011,11.0636603841738,14.5230685181076,FALSE,"centroid_south_of_12N"
"CM61FL","CMR","CMR:CM61FL:douala",4201,43,1244,"douala",2011,3.96905202741777,9.67368860243668,FALSE,"centroid_south_of_12N"
"CM61FL","CMR","CMR:CM61FL:northwest",5604,56,1704,"northwest",2011,6.37000778397013,10.3595914125833,FALSE,"centroid_south_of_12N"
"CM61FL","CMR","CMR:CM61FL:west",5757,78,1724,"west",2011,5.50888332768864,10.6556576257107,FALSE,"centroid_south_of_12N"
"CM61FL","CMR","CMR:CM61FL:southwest",3745,63,1157,"southwest",2011,5.19987323114876,9.2913556154549,FALSE,"centroid_south_of_12N"
"CM61FL","CMR","CMR:CM61FL:north",8596,246,2644,"north",2011,8.46633159994215,13.9455451152322,FALSE,"centroid_south_of_12N"
"CM61FL","CMR","CMR:CM61FL:south",3787,47,1143,"south",2011,2.75970948063934,11.5684723784165,FALSE,"centroid_south_of_12N"
"CM61FL","CMR","CMR:CM61FL:littoral",3200,50,972,"littoral",2011,4.2898327333376,10.1538248995183,FALSE,"centroid_south_of_12N"
