"iso3","year","allcause_deaths","under5_person_years","leaf_deaths","leaf_person_years","age_rows","death_sum_relative_error","person_year_sum_relative_error","ihme_malaria_deaths","ihme_native_rate_per100000","malaria_native_person_years","malaria_denominator_relative_difference"
"BEN",2013,38741.1235157518,1944917.30886725,38741.1235157518,1944917.30886725,6,6.66133814775094e-16,3.33066907387547e-15,6874.8587313849,353.47820187732,1944917.3088673,2.79776202205539e-14
"BEN",2014,38808.6681744622,1992587.47761045,38808.6681744622,1992587.47761045,6,-2.22044604925031e-16,-2.33146835171283e-15,6655.07985485853,333.99185379,1992587.47761045,-1.99840144432528e-15
"BEN",2015,38817.0754924683,2039331.78516971,38817.0754924683,2039331.78516971,6,-3.33066907387547e-16,4.44089209850063e-16,7298.77480376705,357.9003111139,2039331.78516971,1.33226762955019e-15
"BEN",2016,38030.8976088208,2084883.9917208,38030.8976088209,2084883.9917208,6,6.66133814775094e-16,-5.55111512312578e-16,7412.18212567678,355.52012270759,2084883.99172083,1.11022302462516e-14
"BEN",2017,37344.9225644096,2128789.29592923,37344.9225644096,2128789.29592923,6,0,-1.11022302462516e-15,7074.05908570541,332.30433369957,2128789.29592923,1.55431223447522e-15
"BEN",2018,36457.0363878485,2170500.89543548,36457.0363878485,2170500.89543549,6,2.22044604925031e-16,1.55431223447522e-15,7272.97791694035,335.08292635286,2170500.89543551,1.48769885299771e-14
"BEN",2019,35878.9506709738,2209713.314393,35878.9506709739,2209713.31439301,6,4.44089209850063e-16,2.22044604925031e-15,6754.79388696028,305.68643646951,2209713.314393,8.88178419700125e-16
"BEN",2020,34976.9367149908,2246765.44047737,34976.9367149908,2246765.44047739,6,6.66133814775094e-16,7.54951656745106e-15,7496.17762209921,333.64308917385,2246765.44047739,7.54951656745106e-15
"BEN",2021,34189.4647674095,2282217.1735926,34189.4647674095,2282217.17359262,6,-4.44089209850063e-16,5.10702591327572e-15,7747.63721447986,339.47852571294,2282217.17359265,2.08721928629529e-14
"BEN",2022,33879.6521299023,2316199.94047923,33879.6521299023,2316199.94047924,6,4.44089209850063e-16,5.77315972805081e-15,7478.37870121983,322.87276113445,2316199.94047925,9.54791801177635e-15
"BEN",2023,33530.0946197973,2350071.20965014,33530.0946197973,2350071.20965016,6,0,6.88338275267597e-15,7119.81888390118,302.96183599309,2350071.20965017,1.31006316905768e-14
"BEN",2024,33993.4310312077,2374831.91583738,33993.4310312077,2374508.205486,6,2.22044604925031e-16,-0.000136308742200164,7361.29305522589,309.936492370044,2375097.23328642,0.000111720516838165
"BFA",2000,99148.4489565623,2443722.95078327,99148.4489565623,2443722.95078328,6,-5.55111512312578e-16,8.88178419700125e-16,23542.5760621073,963.38973509911,2443722.95078329,6.21724893790088e-15
"BFA",2001,98234.5369961774,2519904.95542978,98234.5369961775,2519904.95542978,6,6.66133814775094e-16,2.22044604925031e-15,25104.6047760301,996.25204998053,2519904.95542978,8.88178419700125e-16
"BFA",2002,96341.888461916,2599621.85720534,96341.888461916,2599621.85720534,6,0,6.66133814775094e-16,27573.9996201934,1060.69271358705,2599621.85720534,1.77635683940025e-15
"BFA",2003,93489.4281596028,2681325.45150052,93489.4281596028,2681325.45150052,6,4.44089209850063e-16,6.66133814775094e-16,27700.1536408615,1033.07689207813,2681325.45150052,1.99840144432528e-15
"BFA",2004,90729.2065801098,2764575.06402795,90729.2065801098,2764575.06402796,6,-1.11022302462516e-16,1.77635683940025e-15,26086.3357949982,943.59296422903,2764575.06402798,9.54791801177635e-15
"BFA",2005,88292.8538201055,2847953.58935525,88292.8538201055,2847953.58935526,6,-1.11022302462516e-16,2.22044604925031e-15,24966.6794975544,876.65331313234,2847953.58935527,8.43769498715119e-15
"BFA",2006,85396.2419906915,2930615.04249344,85396.2419906915,2930615.04249345,6,-2.22044604925031e-16,2.22044604925031e-16,24340.9480732737,830.57473330116,2930615.04249345,2.88657986402541e-15
"BFA",2007,82076.4159912593,3012201.64560715,82076.4159912593,3012201.64560715,6,-2.22044604925031e-16,0,22589.0460762842,749.91812414773,3012201.64560715,1.33226762955019e-15
"BFA",2008,76826.6140543826,3092783.29900176,76826.6140543826,3092783.29900175,6,-2.22044604925031e-16,-5.55111512312578e-16,22780.5257229772,736.5703808065,3092783.29900177,4.44089209850063e-15
"BFA",2009,72974.3253775793,3172283.10290809,72974.3253775794,3172283.1029081,6,8.88178419700125e-16,3.33066907387547e-15,21861.9794559742,689.15600363451,3172283.10290809,2.22044604925031e-15
"BFA",2010,68975.0890600467,3250609.27414795,68975.0890600467,3250609.27414795,6,-2.22044604925031e-16,6.66133814775094e-16,20736.2964420882,637.92030026505,3250609.27414796,2.66453525910038e-15
"BFA",2011,65065.9867024558,3328145.11975025,65065.9867024557,3328145.11975024,6,-1.11022302462516e-15,-3.21964677141295e-15,19280.0845249411,579.30420192698,3328145.11975028,9.32587340685131e-15
"BFA",2012,61810.3289239212,3405076.74517873,61810.3289239212,3405076.74517874,6,-2.22044604925031e-16,3.99680288865056e-15,17818.817425896,523.30149242967,3405076.74517875,6.21724893790088e-15
"BFA",2013,58841.6570538147,3481991.76649904,58841.6570538147,3481991.76649905,6,0,2.22044604925031e-15,15863.7299444318,455.59355128464,3481991.76649905,2.22044604925031e-15
"BFA",2014,56430.3633136803,3560380.2456398,56430.3633136803,3560380.24563981,6,2.22044604925031e-16,4.2188474935756e-15,14101.2033111406,396.0589133256,3560380.24563986,1.82076576038526e-14
"BFA",2015,55253.1036656593,3641496.48997786,55253.1036656593,3641496.48997787,6,8.88178419700125e-16,4.44089209850063e-16,13545.8717646912,371.9864017986,3641496.48997792,1.59872115546023e-14
"BFA",2016,55344.6614361715,3725527.1658859,55344.6614361714,3725527.16588592,6,-2.22044604925031e-16,4.44089209850063e-15,12513.274518678,335.87929872744,3725527.16588595,1.28785870856518e-14
"BFA",2017,55130.1277489052,3813272.36483706,55130.1277489052,3813272.3648371,6,-4.44089209850063e-16,8.88178419700125e-15,11892.3279258753,311.86673250871,3813272.36483717,2.90878432451791e-14
"BFA",2018,54642.1040946206,3905440.91829301,54642.1040946206,3905440.91829303,6,-6.66133814775094e-16,5.10702591327572e-15,11989.0285940589,306.98271577743,3905440.91829302,3.5527136788005e-15
"BFA",2019,54293.097645813,4002190.58124961,54293.0976458131,4002190.58124962,6,2.22044604925031e-16,3.10862446895044e-15,11647.0100092249,291.01587674988,4002190.5812497,2.22044604925031e-14
"BFA",2020,53955.6204508623,4103273.81980874,53955.6204508623,4103273.81980876,6,4.44089209850063e-16,3.77475828372553e-15,12701.0882593436,309.5354786714,4103273.81980885,2.57571741713036e-14
"BFA",2021,53467.1587732487,4209220.10057624,53467.1587732487,4209220.10057626,6,0,4.66293670342566e-15,11420.2812314227,271.3158485074,4209220.10057633,2.28705943072782e-14
"BFA",2022,54127.5141206908,4318546.79377412,54127.5141206908,4318546.79377413,6,-4.44089209850063e-16,1.77635683940025e-15,11145.2695233403,258.07916541295,4318546.79377423,2.66453525910038e-14
"BFA",2023,54443.4607207796,4429995.54792314,54443.4607207796,4429995.54792315,6,2.22044604925031e-16,2.22044604925031e-16,11130.0864322007,251.24373855,4429995.54792314,-9.99200722162641e-16
"BFA",2024,54484.0205521835,4563597.66158448,54484.0205521835,4563784.88984857,6,2.22044604925031e-16,4.10264615717804e-05,10708.7756030255,234.668989162858,4563353.5309575,-5.34952125671451e-05
"BWA",2000,2334.20464298486,221773.843592144,2334.20464298485,221773.843592149,6,-4.44089209850063e-16,2.24265050974282e-14,5.53349919050213,2.49510902677,221773.843592936,3.57092133640435e-12
"BWA",2001,2527.46078495146,221630.858683553,2527.46078495146,221630.858683559,6,2.22044604925031e-16,2.97539770599542e-14,3.53643567493347,1.59564227469,221630.858684822,5.72786262864611e-12
"BWA",2002,2509.82121167766,221263.441402466,2509.82121167765,221263.441402472,6,-5.55111512312578e-16,2.68673971959288e-14,2.2221744458006,1.00431161682,221263.44140445,8.96505092384814e-12
