"prevalence","outcome","relative_change","lo","hi"
7.66978725257433,"Post-neonatal (1 month–5 years)",5.94239000355894,4.21765930634377,7.69566380947293
7.81082546264303,"Post-neonatal (1 month–5 years)",6.0717874278873,4.30873988536338,7.8646343586563
7.95445719663153,"Post-neonatal (1 month–5 years)",6.20372674861494,4.40157713623501,8.03698454263815
8.10073014634138,"Post-neonatal (1 month–5 years)",6.33826094655143,4.49620647397739,8.21278707330724
8.24969288056924,"Post-neonatal (1 month–5 years)",6.47544422035498,4.59266408466557,8.39211641788609
8.40139486123388,"Post-neonatal (1 month–5 years)",6.61533201866704,4.69098694430483,8.57504884826155
8.55588645979955,"Post-neonatal (1 month–5 years)",6.75798107324022,4.79121283824009,8.76166249194574
8.71321897400144,"Post-neonatal (1 month–5 years)",6.9034494330952,4.8933803811188,8.95203738472981
8.87344464487872,"Post-neonatal (1 month–5 years)",7.0517964997435,4.99752903742561,9.14625552509558
9.03661667412077,"Post-neonatal (1 month–5 years)",7.20308306351525,5.10369914260764,9.34440093045252
9.20278924173237,"Post-neonatal (1 month–5 years)",7.35737134103118,5.21193192481049,9.54655969527125
9.37201752402374,"Post-neonatal (1 month–5 years)",7.51472501386179,5.3222695272451,9.7528200511867
9.54435771193144,"Post-neonatal (1 month–5 years)",7.67520926841612,5.43475503120736,9.96327242914865
9.71986702967612,"Post-neonatal (1 month–5 years)",7.83889083710649,5.54943247977169,10.1780095236996
9.89860375376337,"Post-neonatal (1 month–5 years)",8.00583804083555,5.66634690218271,10.3971263594638
10.080627232334,"Post-neonatal (1 month–5 years)",8.1761208328555,5.78554433896783,10.6207203599359
10.26599790487,"Post-neonatal (1 month–5 years)",8.34981084405044,5.9070718677962,10.8488914186595
10.4547773222634,"Post-neonatal (1 month–5 years)",8.52698142969526,6.03097763010974,11.0817419728928
10.6470281672531,"Post-neonatal (1 month–5 years)",8.707707717747,6.15731085855249,11.3193770798599
10.8428142752389,"Post-neonatal (1 month–5 years)",8.89206665872648,6.28612190522706,11.5619044956931
