"grouping","age_group","sensitivity","cells","af10","af10_lo","af10_hi","af30","af30_lo","af30_hi","af50","af50_lo","af50_hi"
"six bands (4-month split)","1-3 months","Poisson likelihood",10464,0.0439917716888265,-0.00189179603235923,0.0877740129043336,0.130357246941165,0.0377937186183918,0.214016232712774,0.193769958721319,0.0945259595496195,0.282136372306254
"six bands (4-month split)","1-3 months","no survey intercept",10464,0.0433493171263479,-0.000344872822131803,0.0851349830376447,0.126956376917241,0.0336770976597417,0.211231394847884,0.189519604029419,0.0829194922630905,0.283728672989009
"six bands (4-month split)","4-11 months","primary (NB, windows 1-5, lag 0)",10464,0.101997679093464,0.054239926292783,0.147343823478883,0.263573089925154,0.181834929139457,0.33714526175999,0.35139337095019,0.272857522358274,0.421446866078097
"six bands (4-month split)","4-11 months","windows 1-4 only",8592,0.108491672409337,0.055875101597621,0.158175894409292,0.273753017855434,0.184495946646472,0.353240885921823,0.355039282827563,0.268659449500673,0.431216652199067
"six bands (4-month split)","4-11 months","window 1 only (12 months before interview)",2234,0.151797483885348,0.0613616327583468,0.23352002917008,0.366634633057063,0.235465254419957,0.475299598400316,0.440310490607819,0.314307752175304,0.543158978510509
"six bands (4-month split)","4-11 months","prevalence lagged one year",8698,0.110603569350072,0.0570640404639245,0.161103145072528,0.275428281164627,0.186653591626747,0.354513439376845,0.347758566039424,0.262202385934323,0.423393515966184
"six bands (4-month split)","4-11 months","Poisson likelihood",10464,0.112270798653832,0.0693328642023163,0.153227717397317,0.275067847799565,0.203234646957321,0.340424852452382,0.35778295198017,0.289949723277884,0.419135869263639
"six bands (4-month split)","4-11 months","no survey intercept",10464,0.0910316562835194,0.0405023332709897,0.138899990559298,0.24681655317541,0.162503487147384,0.322641592096513,0.340627601330199,0.261816935960122,0.41102420076102
"six bands (4-month split)","12-23 months","primary (NB, windows 1-5, lag 0)",5232,0.265043815879992,0.202025470285106,0.323085421323866,0.490253673370241,0.410154336926626,0.559475751404805,0.502644012775437,0.424109914382943,0.570468420613502
"six bands (4-month split)","12-23 months","windows 1-4 only",4296,0.24725106421073,0.177649130068797,0.310962046675669,0.466506676374016,0.374960671396276,0.544644451431078,0.480957611366548,0.391013200607136,0.557617666808368
