"grouping","age_group","pfpr","hr","lo","hi"
"six bands (4-month split)","<1 month",45,1.10338558979577,1.0209538212786,1.19247289583017
"six bands (4-month split)","<1 month",46,1.10277311071289,1.02008515448717,1.19216374080334
"six bands (4-month split)","<1 month",47,1.10189813338268,1.01894941140833,1.19159938929064
"six bands (4-month split)","<1 month",48,1.10076856812004,1.01754723921599,1.19079625383745
"six bands (4-month split)","<1 month",49,1.09939433397313,1.01588154543583,1.18977247593732
"six bands (4-month split)","<1 month",50,1.09778719269815,1.0139576417964,1.18854740156302
"six bands (4-month split)","<1 month",51,1.09596050051109,1.01178327440646,1.18714101039586
"six bands (4-month split)","<1 month",52,1.0939290883649,1.00936874288732,1.18557351691685
"six bands (4-month split)","<1 month",53,1.09170906890341,1.00672687070696,1.18386498444113
"six bands (4-month split)","<1 month",54,1.08931755435956,1.00387278275563,1.18203496958912
"six bands (4-month split)","<1 month",55,1.08677245513795,1.00082366858782,1.1801023560055
"six bands (4-month split)","<1 month",56,1.08409225731941,0.997598418686085,1.17808528999855
"six bands (4-month split)","<1 month",57,1.08129576944999,0.994217127875271,1.17600120562108
"six bands (4-month split)","<1 month",58,1.07840186183001,0.99070051400299,1.17386693472022
"six bands (4-month split)","<1 month",59,1.07542921574549,0.987069276835367,1.17169891234682
"six bands (4-month split)","<1 month",60,1.07239609711593,0.98334344072508,1.16951345936826
"six bands (4-month split)","1-3 months",0,0.995029452135339,0.990108173985777,0.999975191226908
"six bands (4-month split)","1-3 months",1,1,1,1
"six bands (4-month split)","1-3 months",2,1.00499554075806,1.00002723664521,1.00998852824437
"six bands (4-month split)","1-3 months",3,1.01001658182024,1.00006281075115,1.02006942422508
"six bands (4-month split)","1-3 months",4,1.0150638088224,1.00011581596143,1.03023521829873
"six bands (4-month split)","1-3 months",5,1.02013801864781,1.00019787214107,1.04047569593699
"six bands (4-month split)","1-3 months",6,1.02524005448053,1.00032248711236,1.05077830684933
"six bands (4-month split)","1-3 months",7,1.03037074312956,1.00050444248425,1.06112858995534
"six bands (4-month split)","1-3 months",8,1.03553083489823,1.00075920990693,1.07151060855564
"six bands (4-month split)","1-3 months",9,1.04072094630135,1.00110240464066,1.0819073883447
"six bands (4-month split)","1-3 months",10,1.04594150594843,1.00154928302303,1.09230134992819
"six bands (4-month split)","1-3 months",11,1.05119270392455,1.0021142896057,1.10267472707031
"six bands (4-month split)","1-3 months",12,1.05647444499828,1.00281065866531,1.1130099618406
"six bands (4-month split)","1-3 months",13,1.06178630598635,1.00365007364705,1.12329006810456
"six bands (4-month split)","1-3 months",14,1.06712749759076,1.00464238695977,1.1334989553451
"six bands (4-month split)","1-3 months",15,1.07249683100845,1.00579540147361,1.14362170560526
"six bands (4-month split)","1-3 months",16,1.07789268959416,1.00711471408651,1.15364479738972
"six bands (4-month split)","1-3 months",17,1.08331300582464,1.00860362076946,1.16355627168333
"six bands (4-month split)","1-3 months",18,1.08875524378897,1.01026308162292,1.17334583678317
"six bands (4-month split)","1-3 months",19,1.09421638738449,1.01209174351947,1.18300491046121
"six bands (4-month split)","1-3 months",20,1.09969293436561,1.01408601697688,1.19252659996122
"six bands (4-month split)","1-3 months",21,1.1051808963433,1.01624020285456,1.2019056225204
"six bands (4-month split)","1-3 months",22,1.11067580478635,1.01854666337857,1.2111381713685
"six bands (4-month split)","1-3 months",23,1.11617272302669,1.0209960308791,1.22022173441372
"six bands (4-month split)","1-3 months",24,1.12166626421064,1.02357744647686,1.22915487499137
"six bands (4-month split)","1-3 months",25,1.12715061508851,1.02627881996208,1.23793698591709
"six bands (4-month split)","1-3 months",26,1.13261956546794,1.02908710123812,1.24656802960351
"six bands (4-month split)","1-3 months",27,1.1380665431016,1.03198855320034,1.25504827791999
"six bands (4-month split)","1-3 months",28,1.14348465371457,1.03496901578778,1.26337806575347
"six bands (4-month split)","1-3 months",29,1.1488667258162,1.03801415133629,1.27155757172334
"six bands (4-month split)","1-3 months",30,1.15420535988112,1.04110966231853,1.27958663817559
"six bands (4-month split)","1-3 months",31,1.15949298142346,1.0442414740508,1.28746464048683
"six bands (4-month split)","1-3 months",32,1.1647218974342,1.04739587699138,1.29519041287375
"six bands (4-month split)","1-3 months",33,1.16988435559831,1.05055962566601,1.3027622345624
"six bands (4-month split)","1-3 months",34,1.1749726056625,1.05371999394423,1.31017787646761
"six bands (4-month split)","1-3 months",35,1.1799789622833,1.05686478911572,1.31743470477067
"six bands (4-month split)","1-3 months",36,1.18489586865399,1.05998232980277,1.32452983420444
"six bands (4-month split)","1-3 months",37,1.1897159601811,1.0630613949931,1.33146032070783
"six bands (4-month split)","1-3 months",38,1.19443212747133,1.06609115321531,1.33822338064891
"six bands (4-month split)","1-3 months",39,1.19903757787868,1.06906108199349,1.34481662215624
"six bands (4-month split)","1-3 months",40,1.20352589110207,1.07196088628196,1.3512382672627
"six bands (4-month split)","1-3 months",41,1.20789105066983,1.07478041747249,1.35748732166086
"six bands (4-month split)","1-3 months",42,1.2121275119004,1.07750963045427,1.36356378038721
"six bands (4-month split)","1-3 months",43,1.21623026348809,1.080138565212,1.36946878989917
"six bands (4-month split)","1-3 months",44,1.22019487134586,1.08265735500613,1.3752047378372
"six bands (4-month split)","1-3 months",45,1.22401751695576,1.08505627049981,1.3807752856213
"six bands (4-month split)","1-3 months",46,1.22769502980272,1.08732579968431,1.38618534264514
"six bands (4-month split)","1-3 months",47,1.23122491348494,1.08945676034303,1.39144098487094
"six bands (4-month split)","1-3 months",48,1.23460536517168,1.09144043878699,1.39654932467477
"six bands (4-month split)","1-3 months",49,1.23783528816586,1.09326874589527,1.40151834247664
"six bands (4-month split)","1-3 months",50,1.24091428849945,1.09493436966586,1.40635668590075
"six bands (4-month split)","1-3 months",51,1.24384264152692,1.09643089433024,1.41107344282354
"six bands (4-month split)","1-3 months",52,1.24662131202252,1.09775296247265,1.41567797921335
