"subset","split","region","era","prevalence","af","lo","hi"
"West","region","West","All years",54.8422784754683,0.287172990883229,0.137762525539295,0.434693987250587
"West","region","West","All years",56.7287802331119,0.295618324834864,0.143129899291074,0.442891400004964
"West","region","West","All years",58.6152819907554,0.30412181703564,0.150857513403387,0.452806162777561
"West","region","West","All years",60.5017837483989,0.312547328320979,0.159915990585656,0.461461933750023
"West","region","West","All years",62.3882855060424,0.320787666688469,0.166173068591878,0.470093245689686
"West","region","West","All years",64.274787263686,0.328768050065746,0.171909538550568,0.477740029465612
"West","region","West","All years",66.1612890213295,0.336444972996844,0.177913045810383,0.485768732016295
"West","region","West","All years",68.047790778973,0.343797055736228,0.18556213359823,0.491580100099233
"West","region","West","All years",69.9342925366165,0.350816453376449,0.190847201528642,0.497311199655855
"West","region","West","All years",71.8207942942601,0.357514862504896,0.19637041702257,0.503513119288131
"West","region","West","All years",73.7072960519036,0.363925125839085,0.200279263067373,0.511283862750643
"West","region","West","All years",75.5937978095471,0.370084013621891,0.204216041196922,0.51548834916957
"Central & East","region","Central & East","All years",1.65318988549298,0.00900019168168734,0.00231355849466665,0.0160546478029291
"Central & East","region","Central & East","All years",3.12556610926296,0.0289478616383576,0.00754605647923712,0.0513138475407073
"Central & East","region","Central & East","All years",4.59794233303294,0.0484331178035844,0.0130120350692308,0.0849137958476976
"Central & East","region","Central & East","All years",6.07031855680292,0.0674637164257937,0.0191127398511513,0.116469722299586
"Central & East","region","Central & East","All years",7.5426947805729,0.0860421650645164,0.0262430440244933,0.146033556235976
"Central & East","region","Central & East","All years",9.01507100434288,0.104165615853062,0.0347105386209671,0.173406385326361
"Central & East","region","Central & East","All years",10.4874472281129,0.121823102868611,0.045092574444084,0.198887203853374
"Central & East","region","Central & East","All years",11.9598234518828,0.138981135341887,0.0568834991746835,0.219673720191174
"Central & East","region","Central & East","All years",13.4321996756528,0.155602285188881,0.068940208177368,0.240552036314429
"Central & East","region","Central & East","All years",14.9045758994228,0.171635846088733,0.08136718695295,0.259323332640157
"Central & East","region","Central & East","All years",16.3769521231928,0.187026384057379,0.0942729084056513,0.276117010022023
"Central & East","region","Central & East","All years",17.8493283469628,0.201722793072977,0.106243301665152,0.291951105989446
"Central & East","region","Central & East","All years",19.3217045707327,0.215678742073063,0.119262473923917,0.306039321804659
"Central & East","region","Central & East","All years",20.7940807945027,0.228854991593731,0.13112977043855,0.319176282551192
"Central & East","region","Central & East","All years",22.2664570182727,0.241220546131981,0.143171605377058,0.331508904061276
"Central & East","region","Central & East","All years",23.7388332420427,0.252752361752145,0.155249097467127,0.342789584512215
"Central & East","region","Central & East","All years",25.2112094658127,0.263435415966579,0.164397127508641,0.352437472441736
"Central & East","region","Central & East","All years",26.6835856895826,0.27326055843903,0.173984340708017,0.362535988206043
"Central & East","region","Central & East","All years",28.1559619133526,0.28222292401616,0.183186437126287,0.370555451963913
"Central & East","region","Central & East","All years",29.6283381371226,0.290322469480028,0.191126313782926,0.377816792646418
"Central & East","region","Central & East","All years",31.1007143608926,0.297564409802189,0.199211949364887,0.384911432871864
"Central & East","region","Central & East","All years",32.5730905846626,0.303958338497387,0.20548218234451,0.391999691571968
"Central & East","region","Central & East","All years",34.0454668084325,0.309517466146562,0.211865419104919,0.398393950935815
"Central & East","region","Central & East","All years",35.5178430322025,0.314258989224866,0.214825103444372,0.403660488224133
"Central & East","region","Central & East","All years",36.9902192559725,0.318204758780953,0.218545562975857,0.407458625376254
"Central & East","region","Central & East","All years",38.4625954797425,0.321381366649568,0.22036452625358,0.411232453737319
"Central & East","region","Central & East","All years",39.9349717035124,0.323816925478995,0.222179329286242,0.415338524146799
"Central & East","region","Central & East","All years",41.4073479272824,0.325539884224613,0.222814002432046,0.419025170471729
"Central & East","region","Central & East","All years",42.8797241510524,0.326579416594363,0.224112001425875,0.420590645526539
