"iso3","year","pfpr_pct","share_pn","malaria_deaths","allcause_pn","hib3_wuenic","pcv3_wuenic","rotac_wuenic","log_hiv_prev","log_gdp","log_hexp_pc","hiv_imputed"
"LBR",2014,28.1404051745162,21.7665821464387,2521.7726231157,11585.524112835,63,25,0,-0.976965634457111,6.56062675132771,4.00413176597224,FALSE
"LBR",2015,33.1851290119157,23.3646786518636,2549.96903104348,10913.7774545857,65,36,0,-1.06651539564844,6.54043831241916,4.23262619150326,FALSE
"LBR",2016,39.6529302328383,25.6672026928927,2621.78912646109,10214.5495082994,73,73,48,-1.14443674996115,6.57174122578279,4.21479308704456,FALSE
"LBR",2017,42.6183283832398,27.1241959583497,2650.51156996449,9771.76088107629,80,78,70,-1.22526207112385,6.55003564057927,4.21772667596711,FALSE
"LBR",2018,38.6154289913055,27.7643601964508,2614.6891884815,9417.43000732189,81,78,72,-1.30960613990788,6.53987944885905,4.23240923867919,FALSE
"LBR",2019,34.2777932981872,27.5272943414611,2551.67270978837,9269.60956691297,71,68,59,-1.39781238861766,6.48945441505046,3.93560743933723,FALSE
"LBR",2020,30.1906720829989,33.8325937204602,3134.08191721694,9263.49881156645,66,65,60,-1.46979153480965,6.42452515118456,4.33218097340707,FALSE
"LBR",2021,20.3407593568074,30.987725192239,2865.93204073896,9248.60415845155,67,65,63,-1.54385908224672,6.50423743144568,4.48355240691766,FALSE
"LBR",2022,15.758372260313,28.633706023968,2615.68053920537,9134.97029345732,79,74,72,-1.62115044746417,6.61287022756715,4.61011863081447,FALSE
"LBR",2023,15.6137817659988,26.1764438284939,2347.92991666622,8969.629075858,83,80,83,-1.70339945596448,6.68360430817833,4.64382565066855,FALSE
"LBR",2024,15.0057679008546,28.2148579366605,2689.78371276534,9533.21728148917,83,80,83,-1.79118452920694,6.74699682701662,4.64382565066855,FALSE
"MDG",2000,13.3992296682056,7.33529019659939,3516.34329927593,47937.3440590815,0,0,0,-5.70450008377984,5.63579947008071,2.41486553265493,FALSE
"MDG",2001,13.7825419225286,8.31123255228676,3895.34295409691,46868.4148781896,0,0,0,-5.73536550508195,5.76607872827627,2.57558105476095,FALSE
"MDG",2002,14.2207141848664,8.82866866148528,4049.43132646764,45866.8399702565,0,0,0,-5.76519361061869,5.72012086460929,2.71001982278996,FALSE
"MDG",2003,14.8229522442733,9.77683072658841,4364.90524769043,44645.4006390837,0,0,0,-5.04222951507102,5.86539126167472,2.8702120490873,FALSE
"MDG",2004,16.1035414488227,10.7575132074608,4699.71615852047,43687.756341875,0,0,0,-4.86545477463526,5.60653984035524,2.65976918839317,FALSE
"MDG",2005,16.5327958742253,13.5267700346887,5743.20514220464,42458.0674283403,0,0,0,-4.69663477614877,5.72297077906068,2.76945056587383,FALSE
"MDG",2006,15.3749833746499,13.7028706292209,5704.8868717079,41632.7864873978,0,0,0,-4.54805200913587,5.78119673061388,2.79976939739969,FALSE
"MDG",2007,12.5104698612672,11.490007501974,4719.48754764599,41074.7124998411,0,0,0,-4.41558042513007,6.03917794470532,2.96194439972708,FALSE
"MDG",2008,9.88599511915745,10.4826117086497,4284.86241331275,40875.9050931658,52,0,0,-4.27277350989898,6.23945640632253,3.04065713754252,FALSE
"MDG",2009,7.63694966468029,9.08062671122413,3703.31102574002,40782.5488648546,77,0,0,-4.15334527798124,6.10102551483587,2.97397622624466,FALSE
"MDG",2010,5.73613580938243,7.26477134871925,2972.73902973002,40919.9255838121,71,0,0,-4.0506681095378,6.10926845287042,3.05115558302615,FALSE
"MDG",2011,5.13380285758616,6.82900114806883,2802.559069837,41039.0774444303,73,0,0,-3.95978567448668,6.22686011807762,3.13055485823117,FALSE
"MDG",2012,5.35485773800663,7.03291096402567,2903.0063601661,41277.4507599398,68,0,0,-3.87800105241584,6.2015454784844,2.96018371924482,FALSE
"MDG",2013,6.09554297383263,7.52847271012117,3130.64276188007,41584.0354667326,70,76,0,-3.84857993255283,6.2447523396722,2.96175498435512,FALSE
"MDG",2014,6.45323472573432,8.24746162500742,3446.44848798782,41787.9905926172,68,68,50,-3.77815736647335,6.22591379254048,3.11643116241997,FALSE
"MDG",2015,6.15417255649389,8.03659257962766,3397.67118195632,42277.5093833827,62,62,60,-3.7146940449312,6.0987932808844,3.1043113665802,FALSE
"MDG",2016,6.05873886680643,7.82005972397366,3260.69956994489,41696.6069958352,68,65,69,-3.65753758547534,6.11803269050365,3.18668064341098,FALSE
"MDG",2017,6.44576864856945,8.3253778438267,3413.93726170316,41006.3942531401,65,63,62,-3.60620149248458,6.19820804717957,3.16212436999745,FALSE
"MDG",2018,7.18993518145822,8.61948382223937,3514.56428014952,40774.6490698375,74,73,72,-3.56018491645235,6.21552205169795,3.05056695845922,FALSE
"MDG",2019,8.6493821250322,10.124215831475,4030.82595750372,39813.7102625999,69,69,72,-3.518678759624,6.21424570801179,2.7408947817808,FALSE
"MDG",2020,9.65330725105899,13.8315964239368,5351.57882397649,38690.9700077361,67,67,69,-3.4807351755634,6.1109608147998,2.82036368436119,FALSE
"MDG",2021,10.0364394147289,14.9475664276534,5638.09991491986,37719.1828663776,55,56,54,-3.44550684577952,6.18098815540389,2.84371029601484,FALSE
"MDG",2022,10.5161388257416,12.4596476914553,4733.82948583433,37993.2852281269,57,57,53,-3.412315347396,6.22269353692758,2.76367992586997,FALSE
"MDG",2023,9.47859281254454,13.0748842153157,4892.04309367982,37415.5748771325,65,64,62,-3.33422325036814,6.24234792023782,2.85876841790544,FALSE
"MDG",2024,9.57027762649808,13.6303502536056,4898.31220543322,35936.8036352365,60,64,60,-3.26356529106935,6.31060668719788,2.85876841790544,FALSE
"MLI",2000,39.8034183306588,24.2044168704319,17865.6905049147,73811.6956113882,0,0,0,-1.58857301931513,5.71917299791818,2.63939514540622,FALSE
"MLI",2001,41.5096633650221,25.3837873666476,18025.3530812892,71011.2829930696,0,0,0,-1.52934960649876,5.84708756526629,2.57710712522733,FALSE
"MLI",2002,42.1969716422624,30.1970608347366,20641.1264957482,68354.7534931084,0,0,0,-1.55857154444436,5.93540115341241,2.76600420304466,FALSE
"MLI",2003,41.4828323558048,31.7423844106236,20861.8429608735,65722.3562382775,0,0,0,-1.50939247744571,6.09110705262949,2.93223030407775,FALSE
