"iso3","state","key","age_band","year","series","exposure_source","pfpr_pct","ihme_deaths","implied_person_years","age_mapping","ihme_rate_per100000","log_hr_zero_vs_current","log_hr_se","hr_zero_vs_current","hr_lower_95","hr_upper_95","attributable_fraction","af_lower_95","af_upper_95","counterfactual_deaths","attributable_deaths","attributable_deaths_lower_95","attributable_deaths_upper_95","zero_below_observed_support","current_pfpr_outside_central95","current_pfpr_outside_observed_support","negative_attributable_estimate"
"NGA","Cross River","crossriver","24-35",2024,"map_full","MAP",31.0693055166162,227.962495310931,56191.8608630129,"IHME 2-4 rate shared; deaths and person-time divided equally",405.685969124013,-0.952366149601907,0.0751051167634646,0.385827018098951,0.333013523585549,0.447016344238305,0.614172981901049,0.552983655761695,0.666986476414451,87.9540898042126,140.008405506718,126.059534033597,152.047901502084,TRUE,FALSE,FALSE,FALSE
"NGA","Cross River","crossriver","36-47",2024,"map_full","MAP",31.0693055166162,227.962495310931,56191.8608630129,"IHME 2-4 rate shared; deaths and person-time divided equally",405.685969124013,-0.857536244870356,0.0792163134675623,0.424205935439949,0.363200513197684,0.495458208685233,0.575794064560051,0.504541791314767,0.636799486802316,96.7030435685983,131.259451742332,115.016605736761,145.166400024176,TRUE,FALSE,FALSE,FALSE
"NGA","Cross River","crossriver","48-59",2024,"map_full","MAP",31.0693055166162,227.962495310931,56191.8608630129,"IHME 2-4 rate shared; deaths and person-time divided equally",405.685969124013,-0.758056281838055,0.0898485051483578,0.468576322741782,0.392916030839114,0.558805833819781,0.531423677258218,0.441194166180219,0.607083969160886,106.817827775837,121.144667535094,100.575723039068,138.39237647318,TRUE,FALSE,FALSE,FALSE
"NGA","Delta","delta","<1",2024,"map_full","MAP",20.0233537267664,3454.47661765368,9382.87700791474,"0-27 days mapped to model <1 completed month",36816.8165770448,-0.0320860102468551,0.025269601205077,0.96842328417128,0.921627243296518,1.0175954152251,0.0315767158287197,-0.0175954152251037,0.0783727567034815,3345.39559116107,109.081026492607,-60.7829504730281,270.736855493237,TRUE,FALSE,FALSE,FALSE
"NGA","Delta","delta","1-5",2024,"map_full","MAP",20.0233537267664,1391.71193598787,50613.8470946548,"direct age match",2749.66637763216,-0.106597652195015,0.0340433107310398,0.898887265560667,0.840866357033803,0.960911694739917,0.101112734439333,0.0390883052600827,0.159133642966197,1250.99213658828,140.719799399592,54.3996609879946,221.468190333288,TRUE,FALSE,FALSE,FALSE
"NGA","Delta","delta","6-11",2024,"map_full","MAP",20.0233537267664,1763.47360634382,59742.3539790506,"direct age match",2951.79799403653,-0.292680787475364,0.0465478340592218,0.746260318320805,0.681189637638643,0.81754687964836,0.253739681679195,0.18245312035164,0.318810362361357,1316.01037482048,447.463231523342,321.75126213519,562.213659453162,TRUE,FALSE,FALSE,FALSE
"NGA","Delta","delta","12-23",2024,"map_full","MAP",20.0233537267664,1252.9776610683,115922.36764857,"IHME 1 to 4 minus 2 to 4",1080.87652666553,-0.630772721818079,0.0647827119632545,0.5321804146662,0.468721343578219,0.604231058889313,0.4678195853338,0.395768941110687,0.531278656421781,666.810171234814,586.167489833489,495.889642156348,665.680288298874,TRUE,FALSE,FALSE,FALSE
"NGA","Delta","delta","24-35",2024,"map_full","MAP",20.0233537267664,597.23861915235,115933.891765793,"IHME 2-4 rate shared; deaths and person-time divided equally",515.154464372572,-0.803447838001561,0.0735865109692695,0.447782418291329,0.387640312288514,0.517255527287871,0.552217581708671,0.482744472712129,0.612359687711486,267.432953181013,329.805665971337,288.313642286021,365.724854313372,TRUE,FALSE,FALSE,FALSE
"NGA","Delta","delta","36-47",2024,"map_full","MAP",20.0233537267664,597.23861915235,115933.891765793,"IHME 2-4 rate shared; deaths and person-time divided equally",515.154464372572,-0.692253833358371,0.0772623083995417,0.500446873177519,0.430121325476325,0.582270764175215,0.499553126822481,0.417729235824785,0.569878674523675,298.886199495653,298.352419656697,249.484031983561,340.353552656891,TRUE,FALSE,FALSE,FALSE
"NGA","Delta","delta","48-59",2024,"map_full","MAP",20.0233537267664,597.23861915235,115933.891765793,"IHME 2-4 rate shared; deaths and person-time divided equally",515.154464372572,-0.68343594395368,0.089144257069672,0.504879271838594,0.42394197360949,0.60126879384458,0.495120728161406,0.39873120615542,0.57605802639051,301.533399151526,295.705220000824,238.137674977214,344.044100233096,TRUE,FALSE,FALSE,FALSE
"NGA","Ebonyi","ebonyi","<1",2024,"map_full","MAP",26.0077534160741,2810.67347916295,7215.19849765028,"0-27 days mapped to model <1 completed month",38954.9016576367,-0.0452437586586366,0.028195319153784,0.955764477568825,0.904379157779868,1.01006942577591,0.0442355224311746,-0.0100694257759069,0.0956208422201317,2686.34186942873,124.33160973422,-28.3018679787412,268.758965283349,TRUE,FALSE,FALSE,FALSE
"NGA","Ebonyi","ebonyi","1-5",2024,"map_full","MAP",26.0077534160741,1222.12579777099,38949.0080141125,"direct age match",3137.75846955634,-0.133242820254685,0.0390073120942211,0.875252537259493,0.810829766996759,0.944793882958472,0.124747462740507,0.0552061170415282,0.189170233003241,1069.66870534934,152.457092421649,67.4688198312165,231.189821923611,TRUE,FALSE,FALSE,FALSE
"NGA","Ebonyi","ebonyi","6-11",2024,"map_full","MAP",26.0077534160741,1449.1219162559,45652.8684519433,"direct age match",3174.21876301447,-0.358660105469822,0.0511879587065349,0.698611765319184,0.631922509101063,0.77233899981925,0.301388234680816,0.22766100018075,0.368077490898937,1012.37362007825,436.748296177647,329.908544838662,533.38915894213,TRUE,FALSE,FALSE,FALSE
"NGA","Ebonyi","ebonyi","12-23",2024,"map_full","MAP",26.0077534160741,1231.3056007064,88193.232653535,"IHME 1 to 4 minus 2 to 4",1396.14521846994,-0.711291274757948,0.0670472693361034,0.491009759423958,0.430544788302693,0.55996632731291,0.508990240576042,0.44003367268709,0.569455211697307,604.583066780221,626.722533926177,541.815925679019,701.173391514342,TRUE,FALSE,FALSE,FALSE
"NGA","Ebonyi","ebonyi","24-35",2024,"map_full","MAP",26.0077534160741,838.205476525291,87319.3348168848,"IHME 2-4 rate shared; deaths and person-time divided equally",959.931128979704,-0.908348546577695,0.0758189890935532,0.403189523245101,0.347512805185666,0.467786479314797,0.596810476754899,0.532213520685203,0.652487194814334,337.955666461665,500.249810063626,446.104287719143,546.918340055999,TRUE,FALSE,FALSE,FALSE
"NGA","Ebonyi","ebonyi","36-47",2024,"map_full","MAP",26.0077534160741,838.205476525291,87319.3348168848,"IHME 2-4 rate shared; deaths and person-time divided equally",959.931128979704,-0.80238937123094,0.0797912733601076,0.448256632027025,0.383360197997194,0.524138940886302,0.551743367972975,0.475861059113698,0.616639802002806,375.731163853835,462.474312671456,398.869345814227,516.870859082223,TRUE,FALSE,FALSE,FALSE
"NGA","Ebonyi","ebonyi","48-59",2024,"map_full","MAP",26.0077534160741,838.205476525291,87319.3348168848,"IHME 2-4 rate shared; deaths and person-time divided equally",959.931128979704,-0.747718792204554,0.0911248118927799,0.47344534901484,0.39600698717009,0.566026625200703,0.52655465098516,0.433973374799297,0.60399301282991,396.844484379667,441.360992145624,363.758859422933,506.270251137041,TRUE,FALSE,FALSE,FALSE
"NGA","Edo","edo","<1",2024,"map_full","MAP",28.0797252309271,2897.64738129121,7877.60167377257,"0-27 days mapped to model <1 completed month",36783.3701333052,-0.0497550815697884,0.0289096656074101,0.951462426650229,0.899048743618221,1.00693177734039,0.0485375733497706,-0.00693177734039341,0.100951256381779,2757.00260898001,140.644772311193,-20.0858464580847,292.521143692719,TRUE,FALSE,FALSE,FALSE
"NGA","Edo","edo","1-5",2024,"map_full","MAP",28.0797252309271,878.076287231125,42684.2348411945,"direct age match",2057.14426063389,-0.141735467101051,0.0403528574468162,0.86785080121181,0.801855334990816,0.939277922460423,0.13214919878819,0.0607220775395775,0.198144665009184,762.039209398623,116.037077832502,53.3186163989127,173.986131785919,TRUE,FALSE,FALSE,FALSE
"NGA","Edo","edo","6-11",2024,"map_full","MAP",28.0797252309271,992.285388286528,50571.8483128424,"direct age match",1962.12996240152,-0.378746052978789,0.05219360380856,0.684719473060228,0.618136781674665,0.758474128521662,0.315280526939772,0.241525871478338,0.381863218325335,679.437128192915,312.848260093613,239.662593161125,378.917291868298,TRUE,FALSE,FALSE,FALSE
"NGA","Edo","edo","12-23",2024,"map_full","MAP",28.0797252309271,984.29477930954,97414.5536480873,"IHME 1 to 4 minus 2 to 4",1010.41861041147,-0.728156255872056,0.0669831192324617,0.482798326563401,0.42339777745801,0.550532469801491,0.517201673436599,0.449467530198509,0.57660222254199,475.215872295738,509.078907013802,442.408543443545,567.546557386358,TRUE,FALSE,FALSE,FALSE
"NGA","Edo","edo","24-35",2024,"map_full","MAP",28.0797252309271,521.477152545441,94082.1767193828,"IHME 2-4 rate shared; deaths and person-time divided equally",554.278366773806,-0.930436280299877,0.0756011046736427,0.394381611904838,0.340066379888977,0.457372045597206,0.605618388095162,0.542627954402794,0.659933620111023,205.660999992416,315.816152553025,282.968080553526,344.140305084501,TRUE,FALSE,FALSE,FALSE
"NGA","Edo","edo","36-47",2024,"map_full","MAP",28.0797252309271,521.477152545441,94082.1767193828,"IHME 2-4 rate shared; deaths and person-time divided equally",554.278366773806,-0.828841526709256,0.0796395173349863,0.436554730488443,0.373463508488457,0.510304295815095,0.563445269511557,0.489695704184905,0.626536491511543,227.653317785356,293.823834760086,255.365121432079,326.72446555925,TRUE,FALSE,FALSE,FALSE
"NGA","Edo","edo","48-59",2024,"map_full","MAP",28.0797252309271,521.477152545441,94082.1767193828,"IHME 2-4 rate shared; deaths and person-time divided equally",554.278366773806,-0.755801895484692,0.0906645992577117,0.469633866417403,0.393173412982016,0.560963588085359,0.530366133582597,0.439036411914641,0.606826587017984,244.903331398253,276.573821147188,228.947457949014,316.446200687007,TRUE,FALSE,FALSE,FALSE
"NGA","Ekiti","ekiti","<1",2024,"map_full","MAP",29.24066839713,1244.76337817043,3382.2946720426,"0-27 days mapped to model <1 completed month",36802.3338847263,-0.0521926641814175,0.0292716308071304,0.949145982792032,0.896223853636421,1.00519317020513,0.050854017207968,-0.00519317020512955,0.103776146363579,1181.4621599171,63.3012182533273,-6.46426808795107,129.176746521037,TRUE,FALSE,FALSE,FALSE
"NGA","Ekiti","ekiti","1-5",2024,"map_full","MAP",29.24066839713,507.597424228162,18302.2023942144,"direct age match",2773.4226367676,-0.146328643888141,0.0410507319786722,0.863873749699446,0.797089684781234,0.93625330959414,0.136126250300554,0.0637466904058597,0.202910315218766,438.500090205763,69.0973340223995,32.3576558530845,102.99675335437,TRUE,FALSE,FALSE,FALSE
"NGA","Ekiti","ekiti","6-11",2024,"map_full","MAP",29.24066839713,525.36799692789,21621.7261108432,"direct age match",2429.81524340196,-0.389415436938122,0.0526827739164036,0.677452772640228,0.61099061877574,0.751144526699164,0.322547227359772,0.248855473300836,0.38900938122426,355.912006175242,169.455990752648,130.740701532602,204.373079399948,TRUE,FALSE,FALSE,FALSE
