"group","records","observed_deaths","fitted_deaths","age_band","grouping","observed_probability","fitted_probability","residual_deaths"
"2019",47434,1246,1236.72339419205,"<1","calendar_year",0.026268077750137,0.0260725090481944,9.27660580794759
"2018",42573,1182,1139.77496231791,"<1","calendar_year",0.0277640758227045,0.0267722491324997,42.2250376820903
"2005",42165,1264,1367.49455674989,"<1","calendar_year",0.0299774694651963,0.0324319828471456,-103.494556749892
"2017",44004,1269,1231.69906975895,"<1","calendar_year",0.0288382874284156,0.0279906160748784,37.3009302410505
"2001",28498,1026,1003.30124752288,"<1","calendar_year",0.0360025264930872,0.0352060231427778,22.6987524771172
"2000",31503,1202,1166.74342574732,"<1","calendar_year",0.0381550963400311,0.0370359466002386,35.2565742526829
"2004",46546,1510,1546.95969616335,"<1","calendar_year",0.0324410260817256,0.0332350727487506,-36.9596961633454
"2002",37837,1254,1292.1356526152,"<1","calendar_year",0.0331421624335967,0.0341500555703465,-38.1356526152017
"2003",40879,1375,1357.20628597743,"<1","calendar_year",0.0336358521490252,0.033200574524265,17.7937140225729
"2024",4457,121,111.137399018583,"<1","calendar_year",0.0271483060354499,0.0249354720705818,9.86260098141688
"10",180093,4708,4818.97850441488,"<1","pfpr_pct",0.0261420488303266,0.0267582776921639,-110.978504414876
"20",194134,5873,5777.67256050694,"<1","pfpr_pct",0.0302522999577611,0.0297612605752055,95.3274394930622
"0",340335,8805,8804.10647369185,"<1","pfpr_pct",0.0258715677200405,0.0258689422883096,0.893526308145738
"30",149368,4732,4730.30383670479,"<1","pfpr_pct",0.031680145680467,0.0316687900802367,1.69616329520613
"40",133280,4536,4509.13081558711,"<1","pfpr_pct",0.0340336134453781,0.0338320139224723,26.8691844128898
"50",81459,2780,2769.75003906543,"<1","pfpr_pct",0.0341275979327023,0.0340017682400402,10.2499609345691
"60",28176,830,862.63734178504,"<1","pfpr_pct",0.029457694491766,0.0306160328572203,-32.6373417850405
"70",19005,570,557.355793011896,"<1","pfpr_pct",0.0299921073401736,0.0293267978432989,12.6442069881039
"80",4866,142,145.75620526742,"<1","pfpr_pct",0.0291820797369503,0.0299540084807686,-3.75620526742003
"90",645,18,22.267013591288,"<1","pfpr_pct",0.027906976744186,0.0345225016919193,-4.26701359128796
"(0.0251,0.0265]",113140,2870,2910.83395549461,"<1","fitted_probability",0.0253668021919745,0.0257277174782978,-40.833955494611
"(0.0265,0.0283]",113130,3067,3101.21912731272,"<1","fitted_probability",0.027110403960046,0.0274128801141405,-34.2191273127187
"(0.0237,0.0251]",113131,2620,2757.70178761142,"<1","fitted_probability",0.0231589926722119,0.0243761814852818,-137.701787611418
"(0.0216,0.0237]",113148,2495,2567.12062672811,"<1","fitted_probability",0.0220507653692509,0.0226881661781747,-72.1206267281091
"[0.0151,0.0216]",113140,2076,2274.09405863512,"<1","fitted_probability",0.0183489482057628,0.0200998237461121,-198.094058635124
"(0.0283,0.0297]",113131,3233,3277.89293255646,"<1","fitted_probability",0.028577489812695,0.0289743123684619,-44.8929325564645
"(0.0297,0.0318]",113137,3526,3472.56050668053,"<1","fitted_probability",0.0311657547928618,0.0306934115866651,53.4394933194671
"(0.0318,0.0345]",113168,3918,3753.85299026605,"<1","fitted_probability",0.0346210943022763,0.0331706223514248,164.147009733953
"(0.0345,0.0388]",113203,4194,4103.69018250262,"<1","fitted_probability",0.0370484881142726,0.0362507193493337,90.3098174973811
"(0.0388,0.0543]",113033,4995,4778.9924158389,"<1","fitted_probability",0.0441906345934373,0.0422796211357648,216.007584161101
"AGO",30524,320,328.129912042203,"1-5","country",0.0104835539247805,0.0107498988350872,-8.12991204220265
"BDI",18442,238,234.076559706323,"1-5","country",0.0129053248020822,0.012692579964555,3.92344029367712
"BEN",39047,496,496.122482071975,"1-5","country",0.0127026404077138,0.0127057771934329,-0.122482071975469
"BFA",31437,428,423.057974654251,"1-5","country",0.0136145306485988,0.0134573265468795,4.94202534574941
"CIV",16028,232,224.02731706696,"1-5","country",0.0144746693286748,0.0139772471342001,7.97268293304037
"CMR",24257,336,343.046502566659,"1-5","country",0.013851671682401,0.0141421652540157,-7.04650256665883
"COD",46386,786,783.80910273144,"1-5","country",0.0169447678178761,0.0168975359533359,2.19089726856043
"COG",12667,174,177.638963465172,"1-5","country",0.0137364806189311,0.0140237596483123,-3.63896346517222
"COM",2835,22,22.2059328865094,"1-5","country",0.00776014109347443,0.0078327805596153,-0.205932886509366
"ETH",46336,591,590.27494803181,"1-5","country",0.0127546616022099,0.0127390138991672,0.725051968189632
"GAB",11654,94,105.998709587202,"1-5","country",0.00806590012013043,0.00909547877013917,-11.9987095872018
"GHA",19001,172,177.531620176067,"1-5","country",0.00905215514972896,0.00934327773149135,-5.53162017606724
"GIN",19167,354,343.736715733075,"1-5","country",0.0184692440131476,0.0179337776247235,10.2632842669253
"GMB",14504,90,98.2194916267828,"1-5","country",0.00620518477661335,0.00677188993565794,-8.21949162678277
"KEN",46263,422,430.556980020675,"1-5","country",0.00912176037005815,0.00930672416446567,-8.5569800206755
"LBR",20934,363,358.145578997494,"1-5","country",0.0173402120951562,0.017108320387766,4.85442100250611
"MDG",26549,305,306.903296993105,"1-5","country",0.0114881916456364,0.011559881614867,-1.90329699310473
"MLI",46838,730,724.3191635907,"1-5","country",0.0155856355950297,0.015464348682495,5.68083640930013
"MOZ",25335,483,483.288533364768,"1-5","country",0.0190645352279455,0.0190759239536123,-0.288533364767886
"MRT",10142,74,75.8447710039026,"1-5","country",0.00729639124433051,0.00747828544704226,-1.84477100390255
"MWI",55037,694,701.077600044561,"1-5","country",0.0126096989298109,0.0127382960561906,-7.07760004456134
"NAM",8480,101,102.315562114372,"1-5","country",0.0119103773584906,0.0120655144002797,-1.31556211437224
"NER",19534,279,278.696963385388,"1-5","country",0.0142827889833112,0.0142672756929143,0.303036614612438
"NGA",118425,1741,1739.49541308386,"1-5","country",0.0147012877348533,0.0146885827577273,1.50458691613971
