survey,country,variable,national,n
MC_KEN2013TUR,KEN,dtp3_pct,96.3918307878961,167
MC_KEN2013TUR,KEN,measles_pct,94.3516295335347,159
MC_KEN2013TUR,KEN,stunting_pct,23.4304370237188,841
MC_KEN2013TUR,KEN,wasting_pct,22.7354768326733,994
MC_MDG2018,MDG,mean_maternal_age_first_birth,18.8324708095072,9110
MC_MDG2018,MDG,mean_maternal_education_years,4.49045297786434,9109
MC_MDG2018,MDG,mean_wealth_quintile,2.85056218230845,9111
MC_MDG2018,MDG,urban_pct,21.8286765494348,9111
MC_MDG2018,MDG,facility_delivery_pct,38.2901471217023,5227
MC_MDG2018,MDG,short_birth_interval_pct,22.2236362654238,9237
MC_MDG2018,MDG,improved_water_pct,45.6883985473775,17869
MC_MDG2018,MDG,improved_sanitation_pct,48.4848628168801,17869
MC_MDG2018,MDG,electricity_pct,38.8233002009133,17870
MC_MDG2018,MDG,dtp3_pct,79.7305707736503,1813
MC_MDG2018,MDG,measles_pct,74.6637269815029,1219
MC_MDG2018,MDG,stunting_pct,41.6270455155715,12446
MC_MDG2018,MDG,wasting_pct,6.44059164160571,12439
MC_MDG2012S,MDG,mean_maternal_age_first_birth,17.4521078870618,1796
MC_MDG2012S,MDG,mean_maternal_education_years,2.16552348474498,1797
MC_MDG2012S,MDG,mean_wealth_quintile,2.83652331685341,1797
MC_MDG2012S,MDG,urban_pct,6.42429805040842,1797
MC_MDG2012S,MDG,facility_delivery_pct,22.0076369114619,1175
MC_MDG2012S,MDG,short_birth_interval_pct,29.6653188398379,2349
MC_MDG2012S,MDG,improved_water_pct,27.1143028699276,2968
MC_MDG2012S,MDG,improved_sanitation_pct,0.994796673087466,2916
MC_MDG2012S,MDG,electricity_pct,8.45366606331177,2966
MC_MDG2012S,MDG,dtp3_pct,65.8460995262787,436
MC_MDG2012S,MDG,measles_pct,65.1020444040577,475
MC_MLI2015,MLI,mean_maternal_age_first_birth,18.8363342675323,10951
MC_MLI2015,MLI,mean_maternal_education_years,1.28481035122481,10950
MC_MLI2015,MLI,mean_wealth_quintile,2.98852165676527,10951
MC_MLI2015,MLI,urban_pct,19.4412642093433,10951
MC_MLI2015,MLI,facility_delivery_pct,64.4460995933638,6553
MC_MLI2015,MLI,short_birth_interval_pct,23.042279000308,13381
MC_MLI2015,MLI,improved_water_pct,70.5049630220712,11830
MC_MLI2015,MLI,improved_sanitation_pct,44.9335327124706,11830
MC_MLI2015,MLI,electricity_pct,39.998385890106,11830
MC_MLI2015,MLI,dtp3_pct,73.0590245377744,2375
MC_MLI2015,MLI,measles_pct,76.0231749364823,2538
MC_MLI2015,MLI,stunting_pct,30.3915386361519,14771
MC_MLI2015,MLI,wasting_pct,13.4908639741267,15700
MC_MOZ2008,MOZ,mean_maternal_age_first_birth,18.3355879544841,8185
MC_MOZ2008,MOZ,mean_maternal_education_years,2.79760780059257,8107
MC_MOZ2008,MOZ,mean_wealth_quintile,2.91771043157929,8191
MC_MOZ2008,MOZ,urban_pct,30.7779505454554,8191
MC_MOZ2008,MOZ,facility_delivery_pct,14.6225571355532,1207
MC_MOZ2008,MOZ,short_birth_interval_pct,17.7060727238476,9329
MC_MOZ2008,MOZ,improved_water_pct,41.5462464484271,13949
MC_MOZ2008,MOZ,improved_sanitation_pct,31.3334409925287,9025
MC_MOZ2008,MOZ,electricity_pct,13.5807214874731,13946
MC_MOZ2008,MOZ,dtp3_pct,99.9999999999998,1742
MC_MOZ2008,MOZ,measles_pct,84.7447426377335,270
MC_MOZ2008,MOZ,stunting_pct,43.7010565220976,10671
MC_MOZ2008,MOZ,wasting_pct,4.18726532601649,10646
MC_MRT2011,MRT,mean_maternal_age_first_birth,20.0685569649633,6042
MC_MRT2011,MRT,mean_maternal_education_years,3.09242782519477,5992
MC_MRT2011,MRT,mean_wealth_quintile,2.97270815516783,6047
MC_MRT2011,MRT,urban_pct,42.3940963634276,6047
MC_MRT2011,MRT,facility_delivery_pct,51.8193768218498,2458
MC_MRT2011,MRT,short_birth_interval_pct,23.3564217992042,7407
MC_MRT2011,MRT,improved_water_pct,84.1604690695293,8555
MC_MRT2011,MRT,improved_sanitation_pct,44.2201911926586,10060
MC_MRT2011,MRT,electricity_pct,38.8106835339841,10109
MC_MRT2011,MRT,dtp3_pct,32.3010898287022,777
MC_MRT2011,MRT,measles_pct,49.509107297965,599
MC_MRT2011,MRT,stunting_pct,29.7417025630764,8278
MC_MRT2011,MRT,wasting_pct,13.9445272064938,8692
MC_MRT2015,MRT,mean_maternal_age_first_birth,20.2580525945169,6895
MC_MRT2015,MRT,mean_maternal_education_years,3.32833597065665,6711
MC_MRT2015,MRT,mean_wealth_quintile,2.9912523959447,6900
MC_MRT2015,MRT,urban_pct,47.0799788551526,6900
MC_MRT2015,MRT,facility_delivery_pct,69.0131389903217,4172
MC_MRT2015,MRT,short_birth_interval_pct,25.5611244674872,8487
MC_MRT2015,MRT,improved_water_pct,82.9420318909866,11764
MC_MRT2015,MRT,improved_sanitation_pct,47.3142311474083,11725
MC_MRT2015,MRT,electricity_pct,39.5002905420581,11763
MC_MRT2015,MRT,dtp3_pct,70.6000014001134,1805
MC_MRT2015,MRT,measles_pct,79.6577881847878,1867
MC_MRT2015,MRT,stunting_pct,27.9088671905248,9786
MC_MRT2015,MRT,wasting_pct,14.8294700494868,10064
MC_MWI2006,MWI,mean_maternal_age_first_birth,18.6338790907701,16782
MC_MWI2006,MWI,mean_maternal_education_years,4.24795108592091,16778
MC_MWI2006,MWI,mean_wealth_quintile,2.93231880641876,16782
MC_MWI2006,MWI,urban_pct,15.09959784439,16782
MC_MWI2006,MWI,facility_delivery_pct,49.0508796064711,9356
MC_MWI2006,MWI,short_birth_interval_pct,16.4933111878404,18386
MC_MWI2006,MWI,improved_water_pct,75.3105931847524,30550
MC_MWI2006,MWI,improved_sanitation_pct,18.8298280471166,30277
MC_MWI2006,MWI,electricity_pct,5.11779214649991,30539
MC_MWI2006,MWI,dtp3_pct,88.7263986402773,4939
MC_MWI2006,MWI,measles_pct,86.0690837747709,4942
MC_MWI2006,MWI,stunting_pct,53.0721230233266,21470
MC_MWI2006,MWI,wasting_pct,4.16576457981549,21485
MC_MWI2013,MWI,mean_maternal_age_first_birth,18.5248874356301,14168
MC_MWI2013,MWI,mean_maternal_education_years,5.22271644806598,14166
MC_MWI2013,MWI,mean_wealth_quintile,2.87755531960079,14168
MC_MWI2013,MWI,urban_pct,13.1863007302803,14168
MC_MWI2013,MWI,facility_delivery_pct,89.6785664409812,7497
MC_MWI2013,MWI,short_birth_interval_pct,12.1970869775438,14551
MC_MWI2013,MWI,improved_water_pct,86.485196635663,26709
MC_MWI2013,MWI,improved_sanitation_pct,61.7767715064887,26687
MC_MWI2013,MWI,electricity_pct,9.45918528256498,26706
MC_MWI2013,MWI,dtp3_pct,93.8625997853823,3821
MC_MWI2013,MWI,measles_pct,93.0023992462309,3832
MC_MWI2013,MWI,stunting_pct,42.4036174794261,18200
MC_MWI2013,MWI,wasting_pct,3.80364479215821,18147
MC_MWI2019,MWI,mean_maternal_age_first_birth,18.6952938028017,12557
MC_MWI2019,MWI,mean_maternal_education_years,6.03874696117446,12558
MC_MWI2019,MWI,mean_wealth_quintile,2.79201724814505,12558
MC_MWI2019,MWI,urban_pct,14.0004329226469,12558
MC_MWI2019,MWI,facility_delivery_pct,96.265579688552,6406
MC_MWI2019,MWI,short_birth_interval_pct,8.23515927004699,10448
MC_MWI2019,MWI,improved_water_pct,87.9603596104421,25418
MC_MWI2019,MWI,improved_sanitation_pct,79.7699728667859,25415
MC_MWI2019,MWI,electricity_pct,18.7828312406881,25384
MC_MWI2019,MWI,dtp3_pct,93.9333783975642,3079
MC_MWI2019,MWI,measles_pct,90.4556405747953,3105
MC_MWI2019,MWI,stunting_pct,35.4664421721333,14940
MC_MWI2019,MWI,wasting_pct,2.55720156721052,14957
MC_NGA2016,NGA,mean_maternal_age_first_birth,19.6347938788576,18397
MC_NGA2016,NGA,mean_maternal_education_years,4.45078581085719,18416
MC_NGA2016,NGA,mean_wealth_quintile,2.88255712470279,18416
MC_NGA2016,NGA,urban_pct,30.3221034211434,18416
MC_NGA2016,NGA,facility_delivery_pct,33.8771785776015,11185
MC_NGA2016,NGA,short_birth_interval_pct,25.7389827855188,23426
MC_NGA2016,NGA,improved_water_pct,72.1402929619558,33897
MC_NGA2016,NGA,improved_sanitation_pct,53.2063695219727,33898
MC_NGA2016,NGA,electricity_pct,54.4339430612659,33893
MC_NGA2016,NGA,dtp3_pct,65.4218075963959,2902
MC_NGA2016,NGA,measles_pct,66.6865039014253,3503
MC_NGA2016,NGA,stunting_pct,43.5715365029682,27357
MC_NGA2016,NGA,wasting_pct,10.7862487869819,27665
MC_NGA2021,NGA,mean_maternal_age_first_birth,20.3201202162676,17760
MC_NGA2021,NGA,mean_maternal_education_years,6.49384025548984,17777
MC_NGA2021,NGA,mean_wealth_quintile,2.83711962634382,17780
MC_NGA2021,NGA,urban_pct,37.6521442904129,17780
MC_NGA2021,NGA,facility_delivery_pct,44.7605370592033,10001
MC_NGA2021,NGA,short_birth_interval_pct,23.7725876727755,21911
MC_NGA2021,NGA,improved_water_pct,78.8141744151332,33631
MC_NGA2021,NGA,improved_sanitation_pct,59.7948429361641,33631
MC_NGA2021,NGA,electricity_pct,63.142111104727,33565
MC_NGA2021,NGA,dtp3_pct,78.5676116274543,3465
MC_NGA2021,NGA,measles_pct,71.462833694063,3976
MC_SEN2015DKR,SEN,mean_maternal_age_first_birth,22.1160141288386,3412
MC_SEN2015DKR,SEN,mean_maternal_education_years,4.51437417913723,3412
MC_SEN2015DKR,SEN,mean_wealth_quintile,2.89743609964039,3412
MC_SEN2015DKR,SEN,urban_pct,99.9999999999996,3412
MC_SEN2015DKR,SEN,facility_delivery_pct,96.3814031295126,1757
MC_SEN2015DKR,SEN,short_birth_interval_pct,15.4652512247413,3119
MC_SEN2015DKR,SEN,improved_water_pct,99.5762143666157,4943
MC_SEN2015DKR,SEN,improved_sanitation_pct,98.2611513062147,4933
MC_SEN2015DKR,SEN,electricity_pct,94.6812338904392,4946
MC_SEN2015DKR,SEN,dtp3_pct,91.0674892124412,846
MC_SEN2015DKR,SEN,measles_pct,73.6586743420337,848
MC_SEN2015DKR,SEN,stunting_pct,9.38908833250694,3980
MC_SEN2015DKR,SEN,wasting_pct,5.84075907088937,4127
MC_SLE2017,SLE,mean_maternal_age_first_birth,19.4056254551709,8653
MC_SLE2017,SLE,mean_maternal_education_years,3.59361534839574,8665
MC_SLE2017,SLE,mean_wealth_quintile,2.87509941713224,8666
MC_SLE2017,SLE,urban_pct,40.4759269190975,8666
MC_SLE2017,SLE,facility_delivery_pct,75.9514767383624,8722
MC_SLE2017,SLE,short_birth_interval_pct,13.5962351754372,8418
MC_SLE2017,SLE,improved_water_pct,67.8089048860271,15308
MC_SLE2017,SLE,improved_sanitation_pct,47.6205869525049,15306
MC_SLE2017,SLE,electricity_pct,23.507711064622,15254
MC_SLE2017,SLE,dtp3_pct,88.3126074099876,2147
MC_SLE2017,SLE,measles_pct,83.6996475219429,2210
MC_SLE2017,SLE,stunting_pct,26.3521158827561,11447
MC_SLE2017,SLE,wasting_pct,5.07262662531269,11478
MC_SOM2006,SOM,mean_maternal_age_first_birth,19.2577165197487,2175
MC_SOM2006,SOM,mean_maternal_education_years,0.759193595054035,2145
MC_SOM2006,SOM,mean_wealth_quintile,2.71570744859013,2179
MC_SOM2006,SOM,urban_pct,99.9999999999991,2179
MC_SOM2006,SOM,facility_delivery_pct,5.79454666927012,1291
MC_SOM2006,SOM,short_birth_interval_pct,40.652179636062,3164
MC_SOM2006,SOM,improved_water_pct,36.3673245633175,2849
MC_SOM2006,SOM,improved_sanitation_pct,32.9754217911823,3112
MC_SOM2006,SOM,electricity_pct,11.2855283558154,3110
MC_SOM2006,SOM,dtp3_pct,71.2735590629507,134
