"iso3","source_age","deaths","rate_per100000","implied_person_years","ihme_deaths_lower","ihme_deaths_upper","ihme_rate_lower","ihme_rate_upper"
"GHA","1 to 5 months",7266.25220902883,1949.46835079502,372729.939732828,6650.16282658954,7881.19804821595,1784.17726017834,2114.45263931982
"GHA","6-11 months",4344.4091625123,1006.78398001701,431513.537038889,4009.51301307097,4699.86487068389,929.17432917281,1089.15815316828
"GHA","12 to 23 months",4576.8502592748,545.22343704246,839444.885953861,4268.79476170212,4978.71278629623,508.52591196044,593.09585055592
"GHA","2 to 4",8986.72205235036,381.83222207274,2353578.75340295,8242.44191540922,9657.0860057008,350.20888523453,410.31497211376
"GIN","0 to 6 days (early neonatal)",11325.0379177184,127989.802576319,8848.39080126357,10768.7360217362,11905.6350033937,121702.762271738,134551.414723834
"GIN","7 to 27 days (late neonatal)",2728.56269095687,10477.0458048513,26043.2448400049,2521.97858899155,2930.74295478338,9683.81092481053,11253.370971199
"GIN","1 to 5 months",7119.3785008416,3772.64499119435,188710.533788862,6507.35623960576,7644.43805624251,3448.32697409807,4050.88041603204
"GIN","6-11 months",6017.96303433982,2786.10600862178,215999.0687977,5601.47569057066,6497.22407324935,2593.28696264745,3007.98707578434
"GIN","12 to 23 months",7138.08964818967,1683.89051589313,423904.617361874,6604.84142557558,7664.34128751181,1558.09612706748,1808.03439585302
"GIN","2 to 4",11589.3475876711,966.77088940067,1198768.77911122,10733.0535336274,12632.6936933961,895.33976198354,1053.80569743918
"GMB","0 to 6 days (early neonatal)",1748.31333259546,122892.611943266,1422.63501845218,1659.76638332499,1840.8651570643,116668.461115965,129398.273850109
"GMB","7 to 27 days (late neonatal)",330.414666032702,7843.45953437943,4212.61389294391,301.855517738617,355.078668950521,7165.5158865668,8428.93932304773
"GMB","1 to 5 months",643.383114591852,2080.98437497962,30917.248698619,588.635814616638,694.20993472396,1903.90749304588,2245.38069829923
"GMB","6-11 months",453.689349089564,1258.62581769462,36046.4041585108,421.556120117265,486.666081740329,1169.48175541591,1350.10992941282
"GMB","12 to 23 months",466.765444608229,660.24680458582,70695.6007005647,432.867622990371,502.738089680508,612.29782150633,711.13065692714
"GMB","2 to 4",823.485800946362,408.27607650817,201698.274361144,751.128084025889,891.017488089733,372.40183953234,441.75761588042
"GNB","0 to 6 days (early neonatal)",2089.32894272779,158256.30372776,1320.21846429698,1988.33143683669,2196.46213066698,150606.243633737,166371.111302144
"GNB","7 to 27 days (late neonatal)",371.133735615642,9541.32989599853,3889.7484906301,341.877328345382,400.740396076578,8789.18853414095,10302.4757781103
"GNB","1 to 5 months",910.27427280379,3206.70569176367,28386.5861198863,848.370579520255,972.923685556867,2988.63194023154,3427.4064568662
"GNB","6-11 months",583.122252696728,1774.30186854946,32864.8841007785,535.76237387286,628.34389009245,1630.19705844685,1911.90052021989
"GNB","12 to 23 months",602.301753948276,938.55581037322,64173.2486540964,562.055371356617,650.892707135711,875.84060826682,1014.27420426247
"GNB","2 to 4",1302.55215584832,721.78233603196,180463.290776714,1209.9774550974,1398.19386914623,670.48398036501,774.78021326575
"GNQ","0 to 6 days (early neonatal)",635.123218399674,80381.0804255961,790.140186019979,597.760728344191,673.424743401958,75652.490396062,85228.5145493069
"GNQ","7 to 27 days (late neonatal)",156.485157676477,6676.8382310078,2343.7014985588,143.473068071617,168.648820507961,6121.64425204498,7195.83191851297
"GNQ","1 to 5 months",567.7270387504,3312.56816249508,17138.5768050967,522.186734873763,616.604607778771,3046.850043689,3597.75852330634
"GNQ","6-11 months",376.235105429406,1897.02020432086,19832.951940757,349.370136804428,403.27122735793,1761.56397619493,2033.33940687469
"GNQ","12 to 23 months",293.761699855866,740.33642636649,39679.4875132139,267.788587060095,318.530050021037,674.87914749634,802.7574698765
"GNQ","2 to 4",368.572696362013,314.68685179653,117123.640297601,341.060542311938,399.795683023279,291.19701321213,341.34499406562
"KEN","0 to 6 days (early neonatal)",22277.3811901825,87252.5414465415,25532.0714111595,20843.321746767,23713.0419166038,81635.8430583776,92875.5114880315
"KEN","7 to 27 days (late neonatal)",3462.57632119187,4568.40257706165,75794.0278419807,3206.70459683801,3726.83526540884,4230.81433740864,4917.05662242775
"KEN","1 to 5 months",9946.99450057862,1785.44437001477,557115.901656255,9281.68091520864,10673.8928230043,1666.02333331629,1915.91961228745
"KEN","6-11 months",8937.61032369256,1371.08440304704,651864.342109792,8345.19909825559,9625.0294265059,1280.20487686838,1476.53872205281
"KEN","12 to 23 months",5961.01171684229,457.55449904103,1302798.18673748,5529.4499208648,6386.45329609147,424.42873939761,490.21048394952
"KEN","2 to 4",8215.24411261807,211.3455033931,3887115.63800713,7577.25219584979,8898.61986151735,194.93251298627,228.926039002
"LBR","0 to 6 days (early neonatal)",4914.71788635222,154854.497946854,3173.76501910777,4704.62016577485,5127.48322888094,148234.671988963,161558.376187611
"LBR","7 to 27 days (late neonatal)",910.242581500488,9709.92573882384,9374.35162723238,838.987236485408,989.210862651256,8949.81615633193,10552.3123303548
"LBR","1 to 5 months",3165.05911618481,4633.83034593694,68303.3015863435,2961.0253959304,3390.37187354425,4335.11313093307,4963.70130696891
"LBR","6-11 months",2555.96147297978,3241.16535853939,78859.3357708726,2360.65299239308,2750.9534461419,2993.49844798592,3488.43091214318
"LBR","12 to 23 months",2457.09548433076,1643.67257403758,149488.135480356,2275.46742989932,2651.41398360146,1522.1725942246,1773.66181943575
"LBR","2 to 4",2735.66138109034,660.13155595675,414411.545154126,2540.10057151974,2951.74562307064,612.94155561594,712.27398405922
"LSO","0 to 6 days (early neonatal)",1221.67450413609,136855.510765591,892.67468829121,1160.78062791295,1281.21586111297,130034.002659464,143525.505754568
"LSO","7 to 27 days (late neonatal)",234.045856350748,8878.48177320952,2636.10223379601,218.109671496407,253.472576863235,8273.94585460852,9615.43044930515
"LSO","1 to 5 months",689.773536895773,3574.01117006392,19299.7028849083,630.463847162333,737.389700119608,3266.70234729538,3820.73083983185
"LSO","6-11 months",433.936700762338,1928.48834935739,22501.3908384219,398.004767103166,468.210655328246,1768.80073752401,2080.80762069499
"LSO","12 to 23 months",284.310059580552,627.86037507795,45282.3702316386,262.558989202609,305.157376004747,579.82607328086,673.89885830564
"LSO","2 to 4",346.159847643259,255.58991790807,135435.642562304,319.421414260918,372.068672338612,235.84737977226,274.71990777276
"MDG","0 to 6 days (early neonatal)",19504.9665149343,109527.388924705,17808.3004684272,18431.0759001803,20573.3185009569,103497.107614829,115526.568845982
"MDG","7 to 27 days (late neonatal)",3135.92812154978,5954.15411677856,52667.9031151187,2877.09028728433,3402.08884396262,5462.70141227331,6459.51071286531
"MDG","1 to 5 months",10810.9445221609,2820.55040003095,383292.017119861,10036.5371611902,11675.6279105706,2618.50931219672,3046.14429444781
"MDG","6-11 months",9426.05847585279,2139.20260912055,440634.208076623,8696.75195876251,10195.1869287104,1973.68969529715,2313.75293652588
"MDG","12 to 23 months",8306.9211755942,973.98971603194,852875.655549713,7705.2447005389,8893.84876582658,903.44291695986,1042.8072026624
"MDG","2 to 4",13733.5852097747,580.95604432369,2363962.87532604,12735.8255863254,14820.4923561432,538.7489676448,626.93422603344
"MLI","0 to 6 days (early neonatal)",25554.3816598649,152492.474130805,16757.7985769611,24406.0265493227,26963.6852853289,145639.813232249,160902.311610303
"MLI","7 to 27 days (late neonatal)",5290.58795552659,10779.6771694717,49079.2801338214,4862.93655863235,5683.9882944478,9908.32902473894,11581.2381089324
"MLI","1 to 5 months",11324.9456170909,3195.40476166645,354413.492555002,10503.9433470102,12168.8938124214,2963.75379822204,3433.53006249697
